PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-05,18:02:52.72,1,1,"Rudolph, Kyle",826620,Right,MIC_SPA,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.9996,-1.302832,-1.725822,2328.918626,194.177439,12:30,5.53417,1.13677,6.67372,-12.99461,20.66277,4.93555,3.25868,-0.03124,81.74483,-3.861732,-0.82743,0.417553,,,,,,,,,,,,-3.09851,11.5891,-1.02296,50,5.4411,3.74651,-130.75033,-3.23712,-5.32896,29.24331,-12.24255,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,2a2ea980-48ce-11f1-a3c6-1bef95059893,90.26987,,,8.25478,,,,,,,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:02:52.72,2026-05-05T18:02:52.7289344-04:00,2026-05-05T22:02:52.7289344Z,,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,ac8f8b47-57b2-457c-bbb9-417537e1f581,53.8225,-131.60248,14.62165,5.53023,-2.88037,-6.12128,-1.13439,3.90179,-2.66448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-05,18:03:13.37,1,2,"Rudolph, Kyle",826620,Right,MIC_SPA,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.34994,-2.587229,-2.29986,2282.958598,207.152299,1:00,5.38705,1.11467,6.77589,-15.06824,18.20241,8.76788,1.7656,-0.25568,82.3256,-5.513475,-0.700967,0.415147,,,,,,,,,,,,-5.28162,10.70276,-0.96756,50,5.21205,4.92978,-131.16681,-6.27251,-9.15958,28.92274,-13.61295,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,36825510-48ce-11f1-a3c6-1bef95059893,90.79299,,,8.02434,,,,,,,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:03:13.37,2026-05-05T18:03:13.3713408-04:00,2026-05-05T22:03:13.3713408Z,,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,8d95225d-e3a5-48fd-b54c-25583b5db224,53.72087,-131.98473,14.46137,5.38399,-5.88755,-6.80647,-1.11063,5.18881,-4.57979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-05,18:03:35.73,1,3,"Rudolph, Kyle",826620,Right,MIC_SPA,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.81019,0.349154,-0.553016,2326.039838,73.84339,8:30,5.56239,0.61319,6.30811,-52.99219,-2.83583,-14.79091,1.46803,-1.12885,68.54684,-9.416543,-3.234515,0.509723,,,,,,,,,,,,7.58737,-1.15378,-0.56575,50,5.56265,1.51328,-107.43546,-0.8161,8.8959,18.06796,-33.52682,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,43e4d890-48ce-11f1-a3c6-1bef95059893,73.94686,,,5.26335,,,,,,,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:03:35.73,2026-05-05T18:03:35.7365248-04:00,2026-05-05T22:03:35.7365248Z,,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,8b86c239-aaec-40a8-bbaf-c3cee85c934c,54.19388,-108.13846,9.03398,5.56902,0.4884,-16.76341,-0.6179,1.16715,4.44795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-05,18:03:55.03,1,4,"Rudolph, Kyle",826620,Right,MIC_SPA,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.36428,-1.77715,-3.056667,2392.316682,189.589873,12:15,5.47848,1.12131,6.82437,-13.59473,19.62903,3.13047,2.72164,-1.40875,82.2303,-4.442205,-2.486225,0.414854,,,,,,,,,,,,-2.59087,11.32812,-0.92581,50,5.35878,6.89469,-131.22591,-4.3735,-4.48788,29.48657,-12.55175,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,4f499040-48ce-11f1-a3c6-1bef95059893,90.85701,,,8.13399,,,,,,,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:03:55.03,2026-05-05T18:03:55.0332416-04:00,2026-05-05T22:03:55.0332416Z,,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,beb3d7d4-cd03-4707-a5d5-81dd4cff3b5f,53.67511,-132.04913,14.74328,5.47599,-4.02308,-6.27588,-1.12005,7.01999,-2.24394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-05,18:04:15.60,1,5,"Rudolph, Kyle",826620,Right,MIC_SPA,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.39134,-1.96578,-1.337733,2293.353584,195.091625,12:30,5.36805,1.13431,6.77929,-12.253,20.93678,5.34933,2.55104,0.35854,82.25974,-4.386025,-0.361715,0.414642,66.56443,56.452357,-124.368152,4358.756805,,,,,43.62348,,,-3.22858,12.00056,-1.04906,50,5.23489,2.86599,-131.36407,-4.74966,-5.61002,29.28582,-11.32182,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,5b9cedb0-48ce-11f1-a3c6-1bef95059893,90.9035,51.94936,,8.1316,,,,0.55733,2.62819,-0.37148,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:04:15.60,2026-05-05T18:04:15.6036096-04:00,2026-05-05T22:04:15.6036096Z,,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,13438ed5-d8b2-4a0f-b6f6-33da0dcbacda,53.71847,-132.19045,14.64291,5.36441,-4.43018,-5.66091,-1.13217,3.0243,-2.80501,28.182576,0.55733,-30.45644,-4.64387,2.14643,-0.55147,0.29915,-0.47508,0.51235,-0.20173,2.62819,81.3654,-30.63262,3.90828,-0.97155,0.87918,-1.54789,1.50913,-0.54915,-0.37148,-44.53353,6.76842,0.00567,-0.05409,0.08251,-0.1901,0.24606,-0.10558,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-05-05,18:04:40.82,1,6,"Rudolph, Kyle",826620,Right,MIC_SPA,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.15901,-1.101079,-0.72256,2311.42109,197.068541,12:30,5.52833,1.10928,6.73745,-17.35761,16.08544,4.5965,3.07558,0.83207,81.93998,-4.454741,0.11585,0.416222,74.51333,61.027745,-89.285571,3631.193664,,,,,13.44798,,,-2.64421,9.16615,-1.06329,50,5.44884,1.4776,-131.0635,-2.9501,-4.56473,29.64933,-16.35047,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,6abdea10-48ce-11f1-a3c6-1bef95059893,90.55859,24.04201,,8.21904,,,,0.75819,2.98146,-0.82135,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:04:40.82,2026-05-05T18:04:40.8297984-04:00,2026-05-05T22:04:40.8297984Z,,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,7a0890e6-4697-407e-9a3c-43fd4343a099,53.75964,-131.91126,14.82467,5.5265,-2.48259,-8.17524,-1.10741,1.60812,-2.28237,150.738826,0.7594,0.59137,-8.93198,,,,,,,2.98172,95.59489,-22.6826,,,,,,,-0.82024,-52.99599,-4.84175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
7,2026-05-05,18:05:09.36,1,7,"Rudolph, Kyle",826620,Right,MIC_SPA,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.11928,-1.026551,-2.160413,2208.595183,201.964872,12:45,5.44424,0.95884,7.02279,-18.41658,14.33351,5.38914,2.9759,-0.55624,82.863,-4.564174,-1.173012,0.411887,81.45552,27.613039,39.311102,2976.344113,80.25104,47.53573,75.23097,308.5854,264.57838,49.513786,4.076075,-3.46851,8.25071,-0.82897,50,5.37531,4.75791,-131.14169,-2.80352,-6.06802,26.54335,-17.73968,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,7b9d5f50-48ce-11f1-a3c6-1bef95059893,91.51169,55.09525,,7.25629,,,,1.26551,2.97268,0.50322,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:05:09.36,2026-05-05T18:05:09.3622784-04:00,2026-05-05T22:05:09.3622784Z,LineDrive,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,41190654-415e-42f7-b2ae-3b6443064c5a,53.47678,-131.84351,13.27167,5.44323,-2.33447,-8.86984,-0.9569,4.91836,-3.03401,219.126721,1.2655,81.9049,-16.57086,3.80593,-0.68929,0.10454,-0.01913,0.00338,-0.00026,2.97349,55.35247,-15.42615,0.28472,0.17234,-0.12649,0.04665,-0.00805,0.00052,0.50331,67.06504,-4.02468,0.61804,-0.09823,0.02984,-0.00967,0.00181,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-05-05,18:05:46.31,1,8,"Rudolph, Kyle",826620,Right,MIC_SPA,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.7077,1.782932,-0.21152,2383.376897,60.418682,8:00,5.50596,0.73732,6.24068,-54.55806,-5.23485,-11.86009,2.60455,-0.44613,68.81228,-8.294287,-2.357036,0.505472,91.80323,21.655508,57.290779,3011.359028,54.06421,35.12193,95.79668,308.21974,160.99834,69.628398,3.440401,6.13681,-2.83536,-0.71571,50,5.61168,0.79239,-108.64856,1.82551,7.32645,19.25483,-35.55904,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,91b706b0-48ce-11f1-a3c6-1bef95059893,74.5688,40.98366,,5.89542,,,,2.50425,2.85049,0.46821,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:05:46.31,2026-05-05T18:05:46.3156736-04:00,2026-05-05T22:05:46.3156736Z,LineDrive,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,686f642a-064c-49a4-86d9-1a9fadd714af,54.26122,-109.40113,9.62742,5.51317,3.21533,-17.77952,-0.74108,0.50603,3.66323,,2.50437,67.62274,-17.51625,3.68348,-0.86187,0.19187,-0.04828,0.00901,-0.00069,2.85054,49.68387,-17.94734,1.3008,-0.07482,-0.06887,0.04069,-0.00928,0.00076,0.46826,105.29529,-6.68071,0.04849,0.07813,0.01304,-0.02359,0.00652,-0.00061,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-05-05,18:06:13.65,1,9,"Rudolph, Kyle",826620,Right,MIC_SPA,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.02995,-2.546912,-2.06068,2362.987348,200.258108,12:45,5.26571,1.25854,6.94744,-14.77229,17.77214,6.16185,1.71383,-0.10411,82.96714,-5.424025,-0.933135,0.410591,,,,,,,,,,,,-3.8663,10.52245,-1.13212,50,5.10154,4.52491,-132.2152,-6.20608,-6.81145,29.43448,-13.63615,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,a1f66b60-48ce-11f1-a3c6-1bef95059893,91.80037,,,8.06281,,,,,,,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:06:13.65,2026-05-05T18:06:13.6560000-04:00,2026-05-05T22:06:13.6560000Z,,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,514278dc-6d16-40d7-9539-ed85fc155751,53.54938,-133.00304,14.71724,5.26277,-5.8411,-6.81807,-1.25567,4.70722,-3.40573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.14479,,,1.342432,,,,1.77278,5.41543,0.33839,127.27968,2.43772,-28.52123,1.85369,103.47849,-7.58892,5.44667,15.02118,-12.9058,0.22845,-30.59506,6.97671,High,High,High,,,High,High,High
10,2026-05-05,18:06:44.91,2,1,"Rudolph, Kyle",826620,Right,MIC_SPA,"DiLodovico, Andrew",811503,Right,BGS_FAL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.56121,2.169005,-0.593089,2338.332766,53.848977,7:45,5.45563,0.77458,6.42273,-60.15527,-8.57528,-14.30517,2.43752,-0.96271,66.54092,-9.017673,-3.189654,0.516907,,,,,,,,,,,,7.19004,-4.54752,-0.7267,50,5.58477,1.5907,-106.77691,2.34988,8.11289,22.26749,-37.30526,MIC_SPA,BGS_FAL,MichiganState,D1,BIG10,20260505-MichiganState-2,b4a3c2d0-48ce-11f1-a3c6-1bef95059893,72.91924,,,7.02029,,,,,,,9751ccda-76ab-4d62-8972-3f62de152d91,2026-05-05,22:06:44.91,2026-05-05T18:06:44.9176064-04:00,2026-05-05T22:06:44.9176064Z,,v3,1551,471244,20359,"Elezaj, Anthony",813144,Right,MIC_SPA,cc648605-1215-4f32-9945-93fe0028bdd0,54.07605,-107.62358,11.13375,5.46845,3.76832,-18.65263,-0.78132,1.28223,4.05645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
