PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-12,13:02:18.93,1,1,"Rudolph, Kyle",826620,Right,MIC_SPA,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.43843,-0.087296,-1.109395,2298.880763,198.75488,12:45,5.62535,0.91337,6.73533,-16.688,18.24796,5.78378,4.1549,0.38151,79.86994,-3.344781,-0.05491,0.42541,,,,,,,,,,,,-3.36677,9.98638,-0.84206,50,5.61252,2.26199,-128.47361,-0.56914,-5.55863,29.63803,-15.68634,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,56723330-4e24-11f1-a1bd-2d7ffbfa3a71,88.60263,,,8.56849,,,,,,,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:02:18.93,2026-05-12T13:02:18.9388800-04:00,2026-05-12T17:02:18.9388800Z,,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,ea58ca51-234b-40c8-b784-c9052f5f0b72,53.75895,-129.33787,14.81902,5.62244,-0.11172,-7.84317,-0.91038,2.42409,-2.77931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-12,13:02:33.88,1,2,"Rudolph, Kyle",826620,Right,MIC_SPA,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.75427,-1.170264,-2.404349,2333.3439,210.67109,1:00,5.30846,1.23427,6.91973,-14.96131,19.62698,10.89953,2.99503,-0.04796,79.95622,-4.123594,-0.411782,0.423288,72.966,13.803391,170.873726,2332.772716,,,,132.29828,58.97965,174.475165,1.407004,-6.39977,11.06319,-1.08555,50,5.22848,4.96633,-128.78647,-2.90762,-10.59807,30.2382,-13.85335,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,5f192a70-4e24-11f1-a1bd-2d7ffbfa3a71,89.0468,10.73445,,8.79805,,,,1.32652,2.91637,0.03115,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:02:33.88,2026-05-12T13:02:33.8891776-04:00,2026-05-12T17:02:33.8891776Z,LineDrive,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,0a605e94-2c89-4626-b800-19b3e026ac58,53.57128,-129.62227,15.1191,5.30356,-2.5247,-6.92667,-1.22687,5.25926,-5.29904,311.559226,1.32652,-102.61078,7.67273,-1.75245,0.43881,-0.28181,0.2185,-0.10037,0.01888,2.91638,25.53181,-22.10747,2.19404,-0.02185,-0.71581,0.72607,-0.34561,0.06423,0.03114,16.48485,-6.85339,1.50186,-0.63582,0.67651,-0.58332,0.27033,-0.04999,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2026-05-12,13:02:56.99,1,3,"Rudolph, Kyle",826620,Right,MIC_SPA,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.74194,4.483218,-0.177203,2233.577099,73.285733,8:30,5.55575,0.89941,6.20782,-55.63377,-1.1924,-10.15052,5.06593,-0.11002,64.85746,-5.871772,-2.006516,0.531051,,,,,,,,,,,,5.13646,-1.37421,-0.88148,50,5.86588,0.66759,-103.88979,6.60632,5.54797,19.3067,-33.65834,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,6cecbf40-4e24-11f1-a1bd-2d7ffbfa3a71,70.97711,,,6.88448,,,,,,,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:02:56.99,2026-05-12T13:02:56.9938944-04:00,2026-05-12T17:02:56.9938944Z,,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,0430d5e5-483f-4ed3-9c0d-8756e69d4919,54.28931,-104.68388,9.65335,5.56569,7.99069,-16.82917,-0.90425,0.4394,2.77399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-12,13:03:14.66,1,4,"Rudolph, Kyle",826620,Right,MIC_SPA,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.236,-1.42316,-2.548707,2246.462781,206.808221,1:00,5.38546,1.06686,7.00589,-19.42119,15.06099,7.0476,2.47178,-0.66422,80.55058,-5.164447,-1.258204,0.422638,,,,,,,,,,,,-4.47524,8.78485,-0.91282,50,5.29149,5.45313,-128.22882,-3.64939,-7.42812,27.2828,-17.59275,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,7760fc70-4e24-11f1-a1bd-2d7ffbfa3a71,89.18369,,,7.68541,,,,,,,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:03:14.66,2026-05-12T13:03:14.6650112-04:00,2026-05-12T17:03:14.6650112Z,,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,93567eae-15de-4fb6-ad6f-64f5cd36abbb,53.49112,-128.96948,13.6414,5.38407,-3.17179,-8.79637,-1.0636,5.65478,-3.71406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-12,13:03:34.70,1,5,"Rudolph, Kyle",826620,Right,MIC_SPA,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,2,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,88.65022,-1.477422,-1.59403,2264.188817,206.297358,1:00,5.50174,0.91107,6.71503,-18.3891,16.26068,7.46095,2.61797,0.07532,80.60168,-5.020911,-0.234138,0.423664,64.74503,62.616369,58.604671,4567.677523,,,,128.66224,64.65184,72.272784,4.793112,-4.43347,9.38945,-0.80823,50,5.39646,3.308,-128.8223,-3.78311,-7.39213,28.70828,-16.51864,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,8354d4c0-4e24-11f1-a1bd-2d7ffbfa3a71,88.96773,92.54492,,8.04854,,,,1.13422,2.56642,-0.09998,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:03:34.70,2026-05-12T13:03:34.7078656-04:00,2026-05-12T17:03:34.7078656Z,Popup,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,d4e2fd07-211a-4982-a895-53de88a651f2,53.78289,-129.66259,14.35414,5.50011,-3.29961,-8.25932,-0.90822,3.52436,-3.69607,199.326672,1.13364,22.73697,-10.02083,2.86073,-0.1289,-0.26099,0.10471,-0.01667,0.00097,2.55995,84.45656,-23.70427,2.97188,-0.96323,0.26587,-0.03962,0.00185,7E-05,-0.10042,37.28597,-5.92424,1.39348,-0.18933,-0.00901,0.00938,-0.00144,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2026-05-12,13:04:13.39,2,1,"Rudolph, Kyle",826620,Right,MIC_SPA,"Zirwas, Devan",824578,Left,EMU_EAG,Undefined,1,Top,1,0,0,Splitter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.02824,-1.140955,-1.735551,1483.796341,240.773681,2:00,5.34369,1.14286,6.27398,-33.56049,5.4954,7.5952,1.49463,0.17546,77.03,-7.387796,-0.361126,0.449795,,,,,,,,,,,,-4.46681,3.54099,-1.01827,50,5.24303,3.41793,-122.09559,-3.4583,-6.72221,24.72258,-26.8451,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,9a6e38e0-4e24-11f1-a1bd-2d7ffbfa3a71,83.79916,,,6.99824,,,,,,,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:04:13.39,2026-05-12T13:04:13.3916672-04:00,2026-05-12T17:04:13.3916672Z,,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,0adb551b-679e-46ce-8201-5accb55953b0,54.22517,-122.94815,12.36129,5.34632,-2.53255,-13.42255,-1.14014,3.64974,-3.36111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-12,13:04:34.07,2,2,"Rudolph, Kyle",826620,Right,MIC_SPA,"Zirwas, Devan",824578,Left,EMU_EAG,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.75453,-1.446472,-1.385798,2323.630818,210.191325,1:00,5.4353,0.99228,6.81094,-15.92013,18.36056,10.04004,2.78814,0.56426,81.00092,-4.537997,0.447573,0.421402,83.43324,47.644959,-41.451869,3782.535221,75.08838,95.93529,-80.38485,286.6341,137.04138,-52.175175,5.33487,-5.73445,10.49505,-0.9062,50,5.33559,2.75543,-129.06193,-3.62355,-9.64163,27.655,-14.52819,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,a6b169b0-4e24-11f1-a1bd-2d7ffbfa3a71,89.44542,107.80316,,7.75361,,,,-0.11808,2.65575,-0.5214,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:04:34.07,2026-05-12T13:04:34.0723712-04:00,2026-05-12T17:04:34.0723712Z,FlyBall,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,7648ab35-2eea-41f9-a22f-11c51ba74774,53.68754,-129.84968,13.8275,5.43292,-3.20971,-7.26409,-0.9886,3.03007,-4.82082,148.964672,-0.10868,61.59567,-12.84817,1.92232,0.4569,-0.35677,0.0888,-0.01013,0.00044,2.65396,90.45133,-23.48755,2.48681,-0.39737,-0.01014,0.02376,-0.00449,0.00027,-0.52276,-54.54919,4.3545,-0.5947,-0.01626,0.04321,-0.01255,0.00164,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-05-12,13:05:03.11,2,3,"Rudolph, Kyle",826620,Right,MIC_SPA,"Zirwas, Devan",824578,Left,EMU_EAG,Undefined,1,Top,1,0,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.02839,0.929631,-1.450635,2309.763101,196.36353,12:30,5.61942,0.95,6.73756,-17.94926,16.83568,4.56433,4.97341,0.00461,79.66276,-2.577627,-0.618775,0.42449,,,,,,,,,,,,-2.86087,8.90158,-0.85583,50,5.67312,3.08732,-129.17489,1.68175,-4.7338,32.10142,-17.44487,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,b8104820-4e24-11f1-a1bd-2d7ffbfa3a71,88.79473,,,9.36563,,,,,,,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:05:03.11,2026-05-12T13:05:03.1198208-04:00,2026-05-12T17:05:03.1198208Z,,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,f58daf1a-5078-4730-89f6-b042d2c1ef6c,53.75443,-130.10456,16.05071,5.6171,2.18696,-8.72244,-0.94722,3.22441,-2.3669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-12,13:05:21.18,2,4,"Rudolph, Kyle",826620,Right,MIC_SPA,"Zirwas, Devan",824578,Left,EMU_EAG,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,88.08394,-0.995258,-2.130044,2364.227506,190.708915,12:15,5.42375,1.09393,6.89606,-18.89103,16.2458,2.83437,2.94215,-0.61112,79.45968,-4.663019,-1.612058,0.426631,76.19828,59.531166,-23.258157,,88.54664,114.4192,-65.2644,193.56709,88.61566,-39.737846,5.324067,-2.19752,9.32741,-0.96049,50,5.35394,4.65356,-127.91345,-2.66556,-3.58241,30.33713,-16.96846,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,c2c537d0-4e24-11f1-a1bd-2d7ffbfa3a71,88.34898,114.73133,,8.62426,,,,0.38969,3.0137,0.61651,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:05:21.18,2026-05-12T13:05:21.1808256-04:00,2026-05-12T17:05:21.1808256Z,Popup,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,f82d41a2-0341-4718-943e-2c8358dbc5bd,53.6,-128.76442,15.16856,5.42204,-2.18959,-8.48423,-1.09243,4.75405,-1.79121,150.186565,0.39848,51.81623,-11.53012,0.8978,1.55303,-0.92723,0.24159,-0.03037,0.00149,2.99708,96.61895,-26.26317,4.16162,-1.42087,0.36173,-0.05007,0.00279,-1E-05,0.62974,-22.67292,-1.51877,-1.03986,1.6464,-0.8182,0.20212,-0.02477,0.0012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2026-05-12,13:06:01.95,3,1,"Rudolph, Kyle",826620,Right,MIC_SPA,"Stecko, Ty",1000091391,Right,EMU_EAG,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.80994,-1.380391,-0.503427,2308.054708,197.144829,12:30,5.4273,1.27733,6.81314,-17.30694,18.15249,5.20473,2.7253,1.25172,79.17438,-4.756771,0.447311,0.428585,,,,,,,,,,,,-2.95032,10.47989,-1.24667,50,5.33164,0.93406,-127.58517,-3.47043,-4.77756,30.55315,-15.20349,MIC_SPA,EMU_EAG,MichiganState,D1,BIG10,20260512-MichiganState-1,db0827d0-4e24-11f1-a1bd-2d7ffbfa3a71,87.9462,,,8.63555,,,,,,,b8bd909b-1d41-48a1-918b-84b412f7f507,2026-05-12,17:06:01.95,2026-05-12T13:06:01.9552768-04:00,2026-05-12T17:06:01.9552768Z,,v3,1551,471289,20364,"Broski, Adam",839305,Right,MIC_SPA,21786325-8a81-44dc-a440-494245955c98,53.68458,-128.46449,15.27658,5.42522,-3.03288,-7.60175,-1.27553,1.07156,-2.38878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
