PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-26,13:01:04.40,1,1,"Monke, Carter",839301,Right,MIC_SPA,"Crosland, Jordan",806052,Right,MAR_TER,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.20003,-0.912483,-2.943204,2129.580302,190.917152,12:15,5.69885,1.58314,6.89521,-17.30635,17.67143,3.17299,3.42425,-0.83595,79.75871,-4.284063,-2.364102,0.425664,,,,,,,,,,,,-2.59083,10.01115,-1.39832,50,5.63449,6.46186,-128.01178,-2.42302,-4.2477,29.37367,-15.76056,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,830d8240-4191-11f1-b5aa-e50e09ea9aaf,88.54965,,,8.44131,,,,,,,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:01:04.40,2026-04-26T13:01:04.4010000-04:00,2026-04-26T17:01:04.4010000Z,,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,0c94c1e5-d220-436b-be10-2332b7df5d17,53.59951,-128.83508,14.68683,5.69621,-1.98128,-7.88028,-1.5811,6.58092,-2.12385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-26,13:01:20.43,1,2,"Monke, Carter",839301,Right,MIC_SPA,"Crosland, Jordan",806052,Right,MAR_TER,Undefined,1,Top,0,1,0,ChangeUp,Splitter,InPlay,Undefined,FlyBall,Out,1,0,,84.92249,-0.816507,-2.493294,1097.403839,220.544588,1:15,5.56912,1.74875,6.18469,-25.27049,13.57087,10.41682,2.70855,0.31315,76.69394,-5.602925,-0.614753,0.448558,77.8538,44.019367,-27.916488,3806.175142,94.22858,85.35416,-56.75294,267.65459,266.93224,-35.178945,4.976036,-6.2004,7.68918,-1.56575,50,5.49477,4.95794,-123.16656,-2.48748,-9.38514,27.80364,-20.53542,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,8c9abad0-4191-11f1-b5aa-e50e09ea9aaf,84.03024,92.49765,,8.22854,,,,1.37495,2.79379,-0.3488,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:01:20.43,2026-04-26T13:01:20.4380000-04:00,2026-04-26T17:01:20.4380000Z,FlyBall,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,4aa6e407-f02e-47d3-bb3f-9ea8054e4ea5,54.31199,-124.13614,13.90182,5.56903,-1.77137,-10.26771,-1.74435,5.28522,-4.69257,164.68261,1.3784,72.48542,-15.35002,3.7878,-0.48954,-0.02134,0.01864,-0.00251,0.00011,2.79271,79.35941,-19.62521,1.01214,0.05978,-0.10323,0.03425,-0.00508,0.00028,-0.34948,-38.42874,4.55482,-1.22023,0.16833,0.00444,-0.00648,0.001,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2026-04-26,13:02:01.19,2,1,"Monke, Carter",839301,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.89512,-1.18984,-2.315156,2063.238489,199.270187,12:45,5.67106,1.62228,6.75982,-15.18532,19.52387,6.38658,3.31786,0.03885,80.06566,-4.175162,-1.151298,0.424027,,,,,,,,,,,,-4.08004,11.02138,-1.47264,50,5.58662,4.96372,-128.99565,-2.99471,-6.76897,30.68291,-13.88898,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,a4e6f9a0-4191-11f1-b5aa-e50e09ea9aaf,88.89156,,,8.82946,,,,,,,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:02:01.19,2026-04-26T13:02:01.1910000-04:00,2026-04-26T17:02:01.1910000Z,,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,07b4e732-279f-4371-bde2-78f318fb2112,53.73392,-129.88077,15.34145,5.66723,-2.59406,-6.94449,-1.61865,5.15898,-3.38449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-26,13:02:20.44,2,2,"Monke, Carter",839301,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.79998,1.176962,-0.911687,2250.082328,36.127324,7:15,5.64165,1.60629,6.24857,-50.90711,-5.8702,-5.44985,2.48513,0.31126,71.41746,-8.263766,-1.897878,0.483009,,,,,,,,,,,,2.49866,-2.85303,-1.53614,50,5.70532,2.02236,-114.39212,0.77673,3.25317,24.53046,-35.88859,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,b06c0a90-4191-11f1-b5aa-e50e09ea9aaf,78.03665,,,7.38251,,,,,,,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:02:20.44,2026-04-26T13:02:20.4460000-04:00,2026-04-26T17:02:20.4460000Z,,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,bf39bf18-ff7f-4cc5-89f6-16132095ad4e,54.24862,-115.2996,12.26523,5.65203,2.1044,-17.9443,-1.60872,1.90201,1.62658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-26,13:02:41.09,2,3,"Monke, Carter",839301,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,1,0,2,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.60808,-0.541974,-0.593715,1062.970625,211.844584,1:00,5.48377,1.82134,6.37727,-24.52115,13.27654,7.42701,2.94169,1.89401,77.4916,-5.202176,0.752019,0.442491,,,,,,,,,,,,-4.01012,7.47729,-1.7815,50,5.43338,0.99313,-124.29859,-1.86435,-6.20009,27.64551,-20.61332,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,bcb68e60-4191-11f1-b5aa-e50e09ea9aaf,85.18246,,,8.11648,,,,,,,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:02:41.09,2026-04-26T13:02:41.0960000-04:00,2026-04-26T17:02:41.0960000Z,,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,8c435e13-6a52-4756-a6e1-e19dab25f68a,54.11691,-125.2109,13.82276,5.48368,-1.18411,-10.30666,-1.81765,1.19773,-3.10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-26,13:03:00.82,2,4,"Monke, Carter",839301,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,1,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.67748,-1.520158,-2.150019,2300.863039,37.916374,7:15,5.69676,1.53968,6.27659,-53.96074,-8.63394,-7.98032,-0.2025,-1.10808,71.79903,-11.430261,-3.597582,0.484562,,,,,,,,,,,,3.45784,-3.62697,-1.377,50,5.55835,4.56102,-114.16924,-4.64899,4.46273,25.36653,-36.85504,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,c87489a0-4191-11f1-b5aa-e50e09ea9aaf,77.78669,,,6.87845,,,,,,,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:03:00.82,2026-04-26T13:03:00.8200000-04:00,2026-04-26T17:03:00.8200000Z,,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,a73db422-9020-40a9-8556-7fbd22f9aa8f,54.22388,-115.10389,12.68326,5.70463,-3.29104,-18.42752,-1.54203,4.39658,2.23136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-26,13:03:22.59,2,5,"Monke, Carter",839301,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,1,2,2,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,79.02862,0.532313,-1.435175,2189.810325,32.874544,7:00,5.63922,1.51236,6.25973,-52.28597,-7.54804,-5.89185,1.77304,-0.30221,71.83777,-9.136652,-2.502004,0.481404,90.22824,-9.820705,26.197419,,,,,9.83629,8.12417,24.796812,0.067969,2.58756,-3.64016,-1.40321,50,5.65366,3.08659,-114.76263,-0.53449,3.3895,24.76191,-36.9424,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,d5758c30-4191-11f1-b5aa-e50e09ea9aaf,78.29695,1.53597,,7.19085,,,,0.96765,1.53597,0.20814,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:03:22.59,2026-04-26T13:03:22.5940000-04:00,2026-04-26T17:03:22.5940000Z,GroundBall,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,9260d736-7ce1-43fb-b9e9-6d5e19a69396,54.2395,-115.67375,12.38096,5.64832,0.82482,-18.4712,-1.51448,2.96187,1.69475,180,0.96616,117.13714,,,,,,,,1.53626,-22.598,,,,,,,,0.2074,57.63206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-04-26,13:04:01.48,3,1,"Monke, Carter",839301,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.32214,-1.261338,-2.247604,2038.069105,192.441534,12:30,5.59125,1.68443,6.82435,-14.98225,19.14387,3.96288,3.19106,-0.03665,80.85292,-4.198572,-1.52457,0.420451,,,,,,,,,,,,-2.78008,10.86075,-1.54107,50,5.5039,4.93897,-129.70556,-3.17273,-4.68503,29.85462,-13.87124,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,ec988d40-4191-11f1-b5aa-e50e09ea9aaf,89.64774,,,8.46922,,,,,,,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:04:01.48,2026-04-26T13:04:01.4800000-04:00,2026-04-26T17:04:01.4800000Z,,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,92b1ae9c-7f11-49b1-ac51-167038a8a646,53.67104,-130.5478,14.92731,5.58789,-2.78141,-6.93562,-1.68227,5.07114,-2.34252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-26,13:04:21.23,3,2,"Monke, Carter",839301,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,2,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.09347,0.165666,-2.059497,2209.621346,214.908693,1:15,5.68686,1.73018,6.68563,-17.12552,17.56698,11.37753,4.41135,0.79384,80.0085,-3.178968,0.011729,0.423925,,,,,,,,,,,,-6.59591,9.53091,-1.59629,50,5.69059,4.19462,-129.30287,-0.02076,-10.97235,31.34094,-16.31928,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,f8622140-4191-11f1-b5aa-e50e09ea9aaf,88.91291,,,9.08497,,,,,,,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:04:21.23,2026-04-26T13:04:21.2320000-04:00,2026-04-26T17:04:21.2320000Z,,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,50328acb-b8a5-4e3a-845c-08036e0318a2,53.80821,-130.22265,15.67047,5.68417,0.45817,-8.15964,-1.72411,4.51663,-5.48617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-26,13:04:37.99,3,3,"Monke, Carter",839301,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,2,1,1,ChangeUp,Splitter,InPlay,Undefined,FlyBall,Out,1,0,,85.40189,-0.452091,-1.730665,1156.641336,204.113309,12:45,5.58158,1.72567,6.30912,-22.31127,16.18273,6.58591,3.30565,0.67973,76.46485,-4.737406,-0.53983,0.446548,89.11877,51.368586,-5.418611,5080.891026,107.20525,125.84124,-24.63757,234.17944,213.31128,-17.474759,5.937188,-4.02197,8.98497,-1.60186,50,5.53786,3.48526,-123.84383,-1.57563,-6.10207,30.05847,-18.54221,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260426-MichiganState-2,025f59b0-4192-11f1-b5aa-e50e09ea9aaf,84.40854,135.12385,,8.93704,,,,1.31651,3.37986,-0.68275,3034d132-7de6-4673-99d1-7ab8c991a2be,2026-04-26,17:04:37.99,2026-04-26T13:04:37.9960000-04:00,2026-04-26T17:04:37.9960000Z,FlyBall,v3,1551,471349,20355,"Broski, Adam",839305,Right,MIC_SPA,cec8018f-4585-4803-8d3b-067090254560,54.18585,-124.85566,15.02924,5.5804,-0.95146,-9.2711,-1.72264,3.69066,-3.05104,163.286666,1.31961,81.16197,-23.16484,6.27191,-1.10851,0.09428,0.00429,-0.00148,8E-05,3.37527,102.17758,-23.59532,1.79469,-0.09872,-0.05516,0.02207,-0.00334,0.00018,-0.68217,-7.72577,-4.34649,1.75339,-0.38279,0.0352,0.00328,-0.00099,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
