PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-24,18:04:28.98,1,1,"Greeley, JD",811675,Right,MIC_SPA,"Crosland, Jordan",806052,Right,MAR_TER,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.83918,-0.07101,-1.263364,1979.969233,196.240616,12:30,5.50262,1.38373,6.55965,-20.56706,14.33139,3.81811,3.72358,0.54344,80.19973,-4.021463,-0.569547,0.425182,,,,,,,,,,,,-2.38536,7.89158,-1.29805,50,5.48884,2.69265,-129.00507,-0.70996,-3.96648,30.15868,-19.05145,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,90fd9250-4029-11f1-811c-d3b557503335,88.65023,,,8.63944,,,,,,,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:04:28.98,2026-04-24T18:04:28.9888256-04:00,2026-04-24T22:04:28.9888256Z,,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,36cc0c1c-12bb-4a09-bcfe-f5cd872c3c50,53.93495,-129.92173,15.07934,5.50162,-0.13091,-9.52573,-1.38173,2.81321,-1.98324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-24,18:04:46.06,1,2,"Greeley, JD",811675,Right,MIC_SPA,"Crosland, Jordan",806052,Right,MAR_TER,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,87.16132,-0.328804,0.398863,2046.514122,197.25698,12:30,5.49551,1.54871,6.49283,-21.03812,15.29843,4.35626,3.44049,2.27789,78.74191,-4.365681,1.189696,0.433854,,,,,,,,,,,,-2.17303,8.50339,-1.57852,50,5.46322,-1.04473,-126.62898,-1.28811,-3.47656,29.39777,-18.56966,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,9b2e84f0-4029-11f1-811c-d3b557503335,86.87823,,,8.41941,,,,,,,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:04:46.06,2026-04-24T18:04:46.0680704-04:00,2026-04-24T22:04:46.0680704Z,,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,dba58b1f-df8d-47ed-875b-2580004cbfbf,54.00486,-127.55535,14.69888,5.49459,-0.70295,-9.28483,-1.54732,-0.93518,-1.73828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-24,18:05:27.74,2,1,"Greeley, JD",811675,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.79185,-2.123066,-1.788773,2281.558574,199.329102,12:45,5.48967,1.28992,6.46297,-15.61643,18.54737,6.09705,2.2364,0.15448,81.54854,-5.144765,-0.683139,0.420683,,,,,,,,,,,,-3.70398,10.66233,-1.16604,50,5.33238,3.82431,-130.32609,-5.2147,-6.32251,29.31424,-13.97396,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,b406b010-4029-11f1-811c-d3b557503335,89.59829,,,8.24331,,,,,,,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:05:27.74,2026-04-24T18:05:27.7416448-04:00,2026-04-24T22:05:27.7416448Z,,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,9e38b60b-6e17-4929-a86e-35663dd6a03f,54.03291,-131.23008,14.65712,5.48655,-4.78378,-6.98698,-1.28698,4.01928,-3.16126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-24,18:05:45.63,2,2,"Greeley, JD",811675,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,89.70505,-2.106699,-2.42468,2277.587116,201.837528,12:45,5.45299,1.3384,6.42967,-17.1078,17.04206,6.38107,2.08849,-0.35968,81.83616,-5.385651,-1.268923,0.420597,67.7678,-75.808661,175.673721,,,,,0.84197,0.84197,28.569425,0.021452,-4.0454,9.86071,-1.16855,50,5.29499,5.26524,-130.22609,-5.2486,-6.92237,28.25383,-15.30074,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,bead47e0-4029-11f1-811c-d3b557503335,89.61661,2.07393,,7.86889,,,,1.26241,2.07393,0.36309,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:05:45.63,2026-04-24T18:05:45.6319488-04:00,2026-04-24T22:05:45.6319488Z,GroundBall,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,d01505d4-f053-4768-b7e6-04ebdecc774c,54.06853,-131.10583,14.12691,5.451,-4.77218,-7.65037,-1.33585,5.48078,-3.46118,,1.26268,-24.37765,,,,,,,,2.07502,-96.67629,,,,,,,,0.36306,1.84421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2026-04-24,18:06:32.97,3,1,"Greeley, JD",811675,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.50371,-1.958644,-2.741135,2096.261424,210.991599,1:00,5.52701,1.49462,6.32309,-21.76777,13.74497,7.5076,1.90645,-0.40612,80.20822,-6.090747,-1.384064,0.428907,,,,,,,,,,,,-4.73256,8.12213,-1.2976,50,5.37343,5.83962,-128.31856,-5.01949,-7.80406,29.27299,-18.78054,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,dae67850-4029-11f1-811c-d3b557503335,87.88016,,,8.29548,,,,,,,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:06:32.97,2026-04-24T18:06:32.9737728-04:00,2026-04-24T22:06:32.9737728Z,,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,6bdc7a50-12f7-4c5d-95ba-0311da19b48f,54.17255,-129.26693,14.6365,5.52619,-4.41105,-9.39027,-1.49089,6.09245,-3.90203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-24,18:06:51.11,3,2,"Greeley, JD",811675,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.73768,0.447232,-1.87376,1789.699567,51.112939,7:45,5.57891,1.49544,5.68442,-57.50397,-4.63087,-8.16544,1.20401,-0.93216,66.83461,-10.086404,-3.335817,0.523346,,,,,,,,,,,,3.50091,-1.94449,-1.3325,50,5.58087,3.79203,-106.86962,-0.94136,3.95524,22.38666,-34.37089,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,e5c696b0-4029-11f1-811c-d3b557503335,72.02205,,,6.90307,,,,,,,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:06:51.11,2026-04-24T18:06:51.1139840-04:00,2026-04-24T22:06:51.1139840Z,,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,578a98d0-c06d-4ea4-8e38-97a623a2ce78,54.81341,-107.8732,11.19333,5.58853,0.59947,-17.18545,-1.49852,3.61472,1.97762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-24,18:07:11.55,3,3,"Greeley, JD",811675,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.81159,6.069325,2.3193,1604.845179,45.847175,7:30,5.62987,1.40448,5.45105,-58.57767,-5.2637,-7.34138,6.45633,2.96514,66.27755,-4.648873,1.018256,0.525523,,,,,,,,,,,,4.3274,-3.77311,-1.60432,50,6.12861,-4.01855,-106.38281,9.40396,4.90509,20.10809,-36.45084,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,f1f38060-4029-11f1-811c-d3b557503335,71.72365,,,7.53405,,,,,,,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:07:11.55,2026-04-24T18:07:11.5593216-04:00,2026-04-24T22:07:11.5593216Z,,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,333f7cef-9de6-4aab-b708-3dafa8939be3,55.0451,-107.33218,10.05405,5.64399,11.12493,-18.22542,-1.40913,-4.25014,2.45254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-24,18:07:37.36,3,4,"Greeley, JD",811675,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,1,2,1,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.39958,-1.917153,-2.379117,1427.207961,248.720272,2:15,5.52236,1.45947,5.87322,-31.83706,5.90662,11.90335,1.08642,0.24042,78.83223,-7.804991,-0.24168,0.442175,,,,,,,,,,,,-6.78926,3.98394,-1.27383,50,5.34885,4.71425,-125.29523,-5.27052,-10.71639,26.98712,-25.88563,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,014bb960-402a-11f1-811c-d3b557503335,85.24335,,,7.56736,,,,,,,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:07:37.36,2026-04-24T18:07:37.3640704-04:00,2026-04-24T22:07:37.3640704Z,,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,b49f10f1-db52-402b-ad24-9f6e3e820dc6,54.62435,-126.28734,13.49356,5.52511,-4.31891,-12.94282,-1.45438,5.1082,-5.3582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-24,18:08:20.66,3,5,"Greeley, JD",811675,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,1,3,1,FourSeamFastBall,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,85.20919,-0.247239,-1.47397,1452.527934,232.904681,1:45,5.50744,1.3908,5.74344,-29.06053,10.14623,11.56225,2.85545,0.98166,76.93635,-5.676993,0.596066,0.450663,99.30348,36.625021,-5.737518,3963.896524,108.60866,79.80812,-17.43855,359.63295,349.06885,-13.035509,5.795742,-6.36618,5.6465,-1.27548,50,5.46933,2.70089,-123.57211,-1.48194,-9.69801,28.02583,-23.57239,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,1b194100-402a-11f1-811c-d3b557503335,83.63775,114.88431,,8.27285,,,,1.63117,2.9685,-0.96629,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:08:20.66,2026-04-24T18:08:20.6681600-04:00,2026-04-24T22:08:20.6681600Z,FlyBall,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,2880c7d2-139b-4d38-bccd-976073d2ea3e,54.75315,-124.64545,14.01291,5.5088,-0.57916,-11.78619,-1.38603,3.07231,-4.84901,160.597698,1.63796,116.17724,-26.99506,6.59006,-1.03554,0.0539,0.01266,-0.00233,0.00011,2.96206,86.98786,-18.62484,0.61006,0.07035,-0.04428,0.01335,-0.00195,0.0001,-0.96514,-11.70808,-3.59533,1.64101,-0.40329,0.05568,-0.00275,-0.00018,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-24,18:09:12.45,4,1,"Greeley, JD",811675,Right,MIC_SPA,"Coombs, Bud",1000358102,Right,MAR_TER,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.10495,-2.35954,-2.32976,2198.5173,211.805579,1:00,5.5076,1.19087,6.38174,-17.67796,15.68835,9.01339,1.86081,-0.2024,82.66489,-5.743893,-0.698088,0.415744,,,,,,,,,,,,-5.41752,9.24693,-1.02703,50,5.32923,5.01235,-132.16178,-5.93855,-9.49081,30.66785,-15.97463,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260424-MichiganState-1,39f38220-402a-11f1-811c-d3b557503335,90.6627,,,8.44005,,,,,,,26ad45f4-456b-4724-b5f6-42e2340d0fb2,2026-04-24,22:09:12.45,2026-04-24T18:09:12.4571136-04:00,2026-04-24T22:09:12.4571136Z,,v3,1551,471349,f02608fbd561454a876d8db750c9a272,"Bright, Noah",839304,Right,MIC_SPA,2740a8da-c7d0-4034-b8a0-f0c4334d69fe,54.1156,-133.11337,15.33392,5.50581,-5.44287,-7.98731,-1.18713,5.30684,-4.7454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
