PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-25,15:34:37.36,1,1,"Donovan, Aidan",804092,Right,MIC_SPA,"Crosland, Jordan",806052,Right,MAR_TER,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,90.71497,-3.109067,-2.8625,2159.800797,205.312865,12:45,6.39013,1.79082,6.65793,-15.44509,17.90564,7.92079,2.25157,-0.17078,82.35217,-6.100834,-1.422292,0.415646,91.15874,-11.345853,-40.340297,,,,,12.78741,12.61983,-33.82767,0.087218,-5.06985,10.74851,-1.60137,50,6.17436,6.27438,-131.53396,-7.52624,-8.7966,30.40377,-13.52452,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,cbf92950-40dd-11f1-a993-e3ec9e39fa29,90.68393,2.2981,,8.3628,,,,1.89296,2.2981,0.29521,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:34:37.36,2026-04-25T15:34:37.3697536-04:00,2026-04-25T19:34:37.3697536Z,GroundBall,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,c35ae8ea-2d8f-4071-a9bd-1468dd256411,53.84009,-132.41862,15.20189,6.38762,-7.13272,-6.76226,-1.78766,6.53033,-4.3983,180,1.89051,100.09066,,,,,,,,2.29874,-26.34879,,,,,,,,0.2973,-85.00415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
2,2026-04-25,15:35:24.62,2,1,"Donovan, Aidan",804092,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.43962,-1.252571,-3.625593,2160.192958,210.842661,1:00,6.36414,1.90945,6.58931,-16.38332,17.17505,9.57642,3.84865,-0.6191,82.06211,-4.421636,-1.889138,0.416938,,,,,,,,,,,,-6.07209,9.71268,-1.66464,50,6.27106,7.92732,-131.16611,-3.2772,-10.50539,29.53208,-15.36998,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,e828bcd0-40dd-11f1-a993-e3ec9e39fa29,90.40293,,,8.3775,,,,,,,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:35:24.62,2026-04-25T15:35:24.6273536-04:00,2026-04-25T19:35:24.6273536Z,,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,b4bf8381-95c9-44a3-82c1-2efaa88686a8,53.90676,-132.04279,14.76604,6.36157,-2.82094,-7.68499,-1.90459,8.23918,-5.2527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-25,15:35:42.58,2,2,"Donovan, Aidan",804092,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.94427,-1.693153,-1.695953,2071.782809,207.960427,1:00,6.34212,2.03123,6.46692,-17.03521,16.90556,8.37567,3.36633,1.17113,81.87268,-4.968035,-0.176677,0.419307,,,,,,,,,,,,-4.83614,9.65315,-1.91483,50,6.21474,3.52711,-130.61374,-4.30255,-8.31399,28.7542,-15.579,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,f2dfa850-40dd-11f1-a993-e3ec9e39fa29,89.89224,,,8.07159,,,,,,,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:35:42.58,2026-04-25T15:35:42.5871872-04:00,2026-04-25T19:35:42.5871872Z,,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,bb108b44-ec28-4800-9575-12b77893f016,54.02893,-131.4977,14.3771,6.33965,-3.82362,-7.7895,-2.02719,3.7827,-4.15699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-25,15:36:00.77,2,3,"Donovan, Aidan",804092,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,2,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.08967,-2.633452,-1.615144,2139.552702,220.613919,1:15,6.30104,2.02685,6.34298,-19.06044,15.7867,12.52536,2.28564,1.58333,81.10862,-6.263061,0.652734,0.424869,,,,,,,,,,,,-6.94922,9.3415,-1.91473,50,6.10031,3.13455,-129.2693,-6.47414,-11.68388,28.55184,-16.4679,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,fdb47c10-40dd-11f1-a993-e3ec9e39fa29,88.71545,,,7.98105,,,,,,,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:36:00.77,2026-04-25T15:36:00.7749120-04:00,2026-04-25T19:36:00.7749120Z,,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,f909c8d6-3792-45b2-842f-4a539f8ed183,54.1533,-130.1834,14.27592,6.29915,-5.9469,-8.23395,-2.02107,3.50862,-5.84194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-25,15:36:22.57,2,4,"Donovan, Aidan",804092,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,3,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.2625,-2.801385,-2.815613,2066.518496,216.043509,1:15,6.23699,1.83846,6.60995,-19.31525,15.80465,10.64934,2.05633,0.14489,80.53297,-6.491002,-0.880062,0.426529,,,,,,,,,,,,-6.39059,9.47359,-1.65063,50,6.03783,5.8878,-128.03609,-6.77369,-10.56368,27.47386,-16.5142,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,0ab4e260-40de-11f1-a993-e3ec9e39fa29,88.37025,,,7.72953,,,,,,,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:36:22.57,2026-04-25T15:36:22.5703424-04:00,2026-04-25T19:36:22.5703424Z,,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,85c73ed8-2140-402d-b33d-1d82d266ebd1,53.88706,-128.86747,13.73693,6.23525,-6.27395,-8.2571,-1.83364,6.20746,-5.28184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-25,15:37:01.32,2,5,"Donovan, Aidan",804092,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,3,1,FourSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.48222,-2.550891,-2.531267,2085.452567,224.820902,1:30,6.32069,2.00205,6.40025,-18.75662,14.78914,13.62457,2.40799,0.80816,82.77892,-6.114362,-0.063571,0.41686,,,,,,,,,,,,-7.78654,8.7556,-1.82622,50,6.12877,5.25471,-131.32472,-6.38575,-13.59065,27.9521,-16.892,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,21cb8760-40de-11f1-a993-e3ec9e39fa29,90.41985,,,7.7033,,,,,,,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:37:01.32,2026-04-25T15:37:01.3298688-04:00,2026-04-25T19:37:01.3298688Z,,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,5ed743bc-bd0f-46a5-984f-08b214c43cab,54.09762,-132.19401,13.97605,6.3192,-5.86042,-8.446,-1.99621,5.67737,-6.79533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-25,15:37:27.86,2,6,"Donovan, Aidan",804092,Right,MIC_SPA,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,3,2,FourSeamFastBall,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,90.739,-2.42196,-3.429908,2193.062324,228.273557,1:30,6.31235,1.84348,6.55918,-19.42485,13.86544,14.3104,2.46778,-0.11238,82.74681,-6.122921,-0.833303,0.41527,97.16206,6.852628,4.307225,762.69624,109.88644,4.54696,4.99613,142.59348,141.8572,2.020431,1.167886,-8.54445,8.32233,-1.61267,50,6.13671,7.33622,-131.62893,-6.11731,-14.92588,29.07088,-17.63617,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,31987b30-40de-11f1-a993-e3ec9e39fa29,90.7662,6.56262,,7.99219,,,,0.28921,2.35294,0.11849,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:37:27.86,2026-04-25T15:37:27.8638592-04:00,2026-04-25T19:37:27.8638592Z,LineDrive,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,2e10f96d-3bf2-4f49-b989-a38322c9d6a7,53.93995,-132.49623,14.53544,6.31136,-5.59115,-8.81808,-1.83819,7.78152,-7.46294,95.648855,0.28921,141.08652,-20.41737,4.18658,-0.93489,0.21167,-0.04822,0.0092,-0.00099,2.35294,17.00302,-17.97206,1.8234,-0.41489,0.09832,-0.02145,0.00413,-0.00046,0.11849,10.62624,-6.76423,1.36588,-0.307,0.07023,-0.01594,0.00303,-0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-25,15:38:10.02,3,1,"Donovan, Aidan",804092,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.00527,-0.936595,-2.546869,2258.63692,51.346018,7:45,6.44363,1.78316,5.9006,-52.42369,-6.63579,-9.95697,1.20459,-1.41245,72.54194,-10.467302,-4.336861,0.48702,,,,,,,,,,,,4.44685,-2.80063,-1.57248,50,6.33794,5.3966,-113.34333,-3.5114,5.79363,20.41872,-35.82288,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,4ac57d10-40de-11f1-a993-e3ec9e39fa29,77.39404,,,5.46333,,,,,,,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:38:10.02,2026-04-25T15:38:10.0210688-04:00,2026-04-25T19:38:10.0210688Z,,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,56b60600-33a8-4fa1-a16d-db2aa3b6a9bd,54.60159,-114.16929,10.20936,6.45067,-2.06232,-17.91144,-1.78604,5.16224,2.89682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-25,15:38:30.41,3,2,"Donovan, Aidan",804092,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,0,1,0,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.63759,-1.747029,-2.603024,1217.064103,254.541234,2:30,6.17284,1.99673,6.62151,-34.6962,4.49796,11.46032,1.67951,0.56642,76.31833,-8.242461,-0.515844,0.450591,,,,,,,,,,,,-6.81717,3.31311,-1.82428,50,6.04034,5.10687,-121.42113,-4.7078,-10.0804,25.88796,-27.27505,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,56ebd710-40de-11f1-a993-e3ec9e39fa29,83.65119,,,7.31926,,,,,,,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:38:30.41,2026-04-25T15:38:30.4185344-04:00,2026-04-25T19:38:30.4185344Z,,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,7407d7ce-3255-4bfe-a67f-e4a2fc94d1fe,53.87638,-122.24481,12.94398,6.17633,-3.83998,-13.63752,-1.99187,5.4276,-5.0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-25,15:38:50.26,3,3,"Donovan, Aidan",804092,Right,MIC_SPA,"Costello, Ryan",814952,Left,MAR_TER,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.61139,-2.453898,-3.017863,1334.409826,218.817342,1:15,6.19637,1.98642,6.56382,-26.95738,13.03198,9.45815,1.69581,0.00542,75.86918,-7.528605,-1.299977,0.455139,,,,,,,,,,,,-5.80028,7.92489,-1.78219,50,6.01568,5.98425,-119.89097,-5.86746,-8.44296,23.16181,-20.63849,MIC_SPA,MAR_TER,MichiganState,D1,BIG10,20260425-MichiganState-2,62be44b0-40de-11f1-a993-e3ec9e39fa29,82.81531,,,6.74221,,,,,,,8519aa6d-aa7b-46ee-8666-73af27223117,2026-04-25,19:38:50.26,2026-04-25T15:38:50.2630400-04:00,2026-04-25T19:38:50.2630400Z,,v3,1551,471349,18858,"Broski, Adam",839305,Right,MIC_SPA,1c27ec66-d4da-4b76-976f-05cfed3d6238,53.93404,-120.6486,11.58091,6.19657,-5.19237,-10.31925,-1.98245,6.26042,-4.22148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
