PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-11,15:32:31.12,1,1,"Monke, Carter",839301,Right,MIC_SPA,"Mullens, Cooper",822733,Right,MIC_WOL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.44659,-2.652175,-3.092007,2205.165178,207.659422,1:00,5.60899,1.53174,6.87295,-16.6471,18.47147,8.98662,1.79942,-0.54002,79.52814,-5.90807,-1.451835,0.42652,,,,,,,,,,,,-5.78607,11.06654,-1.33805,50,5.43396,6.58631,-128.17596,-6.30551,-9.43804,31.31191,-14.12265,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,2ef50490-35dd-11f1-867c-5dd3df132bdb,88.37196,,,8.91845,,,,,,,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:32:31.12,2026-04-11T15:32:31.1220736-04:00,2026-04-11T19:32:31.1220736Z,,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,efcfb747-f02c-426e-aeaf-a13b47f20c8a,53.62231,-129.05781,15.65596,5.60595,-5.90777,-7.06133,-1.52728,6.85212,-4.71902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-11,15:32:48.01,1,2,"Monke, Carter",839301,Right,MIC_SPA,"Mullens, Cooper",822733,Right,MIC_WOL,Undefined,1,Top,0,0,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,79.55339,0.57894,-1.135332,2229.413035,41.721068,7:30,5.68033,1.51461,6.3073,-50.33282,-5.92209,-6.77,2.01939,-0.09559,71.69361,-8.77166,-2.362263,0.47964,97.3008,8.24222,6.716565,2328.501066,,,,127.57123,127.57123,4.994179,1.019717,3.11547,-2.79583,-1.42834,50,5.69945,2.53365,-115.44371,-0.36793,4.09554,26.67664,-35.84939,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,390a58e0-35dd-11f1-867c-5dd3df132bdb,78.58486,6.51505,,7.85978,,,,1.42316,2.06515,0.09662,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:32:48.01,2026-04-11T15:32:48.0166912-04:00,2026-04-11T19:32:48.0166912Z,LineDrive,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,15481aca-7ade-411b-bd3e-2d0c9d9a2e72,54.19028,-116.40797,13.33832,5.68933,0.92789,-17.9247,-1.51724,2.38561,2.04777,38.157524,1.42316,140.26414,-18.99219,2.81553,-0.82591,0.52427,-0.43288,0.22374,-0.04935,2.06515,20.45869,-24.79762,2.92159,0.6501,-2.24342,2.36897,-1.2789,0.28512,0.09661,16.51883,-6.90731,1.12948,1.27555,-2.78364,2.8349,-1.52128,0.33863,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-11,15:33:31.89,2,1,"Monke, Carter",839301,Right,MIC_SPA,"Turner, Colby",827522,Right,MIC_WOL,Undefined,1,Top,0,0,0,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.42114,-0.766626,-4.397598,1001.198403,224.95389,1:30,5.58274,1.6157,6.29619,-24.73222,14.76749,13.2454,2.81322,-1.34052,75.72506,-5.482151,-2.011736,0.452343,,,,,,,,,,,,-8.25146,8.34422,-1.29746,50,5.51443,8.85991,-122.11481,-2.31771,-12.2212,28.33914,-19.81544,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,53320e70-35dd-11f1-867c-5dd3df132bdb,83.32705,,,8.69608,,,,,,,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:33:31.89,2026-04-11T15:33:31.8931456-04:00,2026-04-11T19:33:31.8931456Z,,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,f15ced75-4b69-44cb-81e1-4dbd6f358dd2,54.19704,-123.08496,14.16957,5.58216,-1.63935,-9.90772,-1.60793,9.27828,-6.1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-11,15:33:51.01,2,2,"Monke, Carter",839301,Right,MIC_SPA,"Turner, Colby",827522,Right,MIC_WOL,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.08355,-1.383246,-2.283903,2181.03101,217.716871,1:15,5.62219,1.54333,6.69269,-16.83906,18.96698,13.5745,2.95271,0.58481,78.57056,-4.693151,0.187854,0.430675,73.30638,5.031713,175.244372,1974.786362,,,,81.49853,57.12177,176.441503,0.855926,-7.70248,10.76134,-1.39407,50,5.52227,4.51035,-127.61229,-3.43086,-12.3932,32.20176,-14.85915,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,5e984cc0-35dd-11f1-867c-5dd3df132bdb,87.51948,4.19336,,9.51299,,,,2.02771,2.79996,-0.53018,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:33:51.01,2026-04-11T15:33:51.0142976-04:00,2026-04-11T19:33:51.0142976Z,GroundBall,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,4ea0e6b2-b4d2-4139-ab4d-61f19cdc9301,53.79515,-128.56639,16.10088,5.6174,-2.9906,-7.42958,-1.53315,4.87755,-6.1966,253.048277,2.02771,-106.73252,11.18931,-0.33612,0.7474,-2.57437,3.66046,-2.58973,0.73626,2.79996,9.42986,-16.59829,2.23352,-0.12836,-0.21294,0.23477,-0.14327,0.0375,-0.53018,8.87931,-2.63541,-0.15038,-0.16197,0.63385,-0.88921,0.62468,-0.17693,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
5,2026-04-11,15:34:18.15,2,3,"Monke, Carter",839301,Right,MIC_SPA,"Turner, Colby",827522,Right,MIC_WOL,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.86355,-1.875577,-2.614008,2142.7974,204.338691,12:45,5.65234,1.42203,6.95226,-16.3443,18.85954,7.96414,2.58122,-0.29461,79.41895,-5.075514,-1.157497,0.427038,,,,,,,,,,,,-5.02918,10.97697,-1.26176,50,5.52949,5.52558,-127.52013,-4.51773,-8.17338,29.41022,-14.33442,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,6ec0ce10-35dd-11f1-867c-5dd3df132bdb,88.26483,,,8.4446,,,,,,,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:34:18.15,2026-04-11T15:34:18.1519872-04:00,2026-04-11T19:34:18.1519872Z,,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,efa405d3-9620-4c96-bcdf-3fa0209adb87,53.54281,-128.33461,14.70511,5.64911,-4.12075,-7.16721,-1.41791,5.75193,-4.08669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-11,15:34:40.10,2,4,"Monke, Carter",839301,Right,MIC_SPA,"Turner, Colby",827522,Right,MIC_WOL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,84.64077,-0.411848,-2.675392,1253.214087,256.692692,2:30,5.46199,1.51924,6.21671,-34.76974,4.51902,12.88513,2.18404,0.12234,76.1459,-6.920895,-0.348744,0.451134,91.7607,-16.808353,-30.259246,,,,,9.02393,2.63354,-24.303832,0.056973,-7.58252,2.90402,-1.325,50,5.4141,5.23082,-122.70561,-1.96979,-11.31588,29.07313,-27.84018,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,7bd75470-35dd-11f1-867c-5dd3df132bdb,83.55041,2.22113,,8.49487,,,,1.87314,2.22113,-0.00883,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:34:40.10,2026-04-11T15:34:40.1012736-04:00,2026-04-11T19:34:40.1012736Z,GroundBall,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,0aff7417-6584-4d62-82a4-1a72ba422676,54.27988,-123.7155,14.53657,5.46572,-1.00272,-13.92009,-1.51353,5.62389,-5.65794,,1.87134,111.47583,,,,,,,,2.22176,-38.98594,,,,,,,,-0.00778,-65.03489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2026-04-11,15:35:19.76,3,1,"Monke, Carter",839301,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.36222,1.413464,-0.024724,2160.135295,55.877515,7:45,5.71811,1.45493,6.27944,-48.11428,-3.9002,-8.01567,3.01166,0.76417,72.00964,-7.527546,-1.475689,0.478577,,,,,,,,,,,,4.11307,-1.92776,-1.44964,50,5.80015,0.34728,-115.24367,1.36453,5.45296,24.25309,-34.72977,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,93899d30-35dd-11f1-867c-5dd3df132bdb,78.75943,,,7.35258,,,,,,,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:35:19.76,2026-04-11T15:35:19.7664256-04:00,2026-04-11T19:35:19.7664256Z,,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,b4ee3195-5f79-4479-aa9a-3b6829eac039,54.21781,-116.12791,12.12655,5.72732,2.63075,-17.36489,-1.45867,0.14847,2.72648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-11,15:35:40.65,3,2,"Monke, Carter",839301,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,0,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.6813,-0.575563,-2.112557,2122.815298,23.601402,6:45,5.65143,1.53343,6.36757,-55.31743,-11.32666,-5.63146,0.51165,-0.88065,72.56061,-10.771164,-3.135491,0.477367,,,,,,,,,,,,2.23469,-5.34162,-1.37822,50,5.58451,4.46428,-115.69107,-2.84169,2.96251,25.97963,-39.25543,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,9ff341c0-35dd-11f1-867c-5dd3df132bdb,78.95907,,,7.12069,,,,,,,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:35:40.65,2026-04-11T15:35:40.6537216-04:00,2026-04-11T19:35:40.6537216Z,,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,383a08e8-756e-4116-a1c4-268d4fbe8798,54.13295,-116.61547,12.98981,5.66078,-1.4449,-19.62771,-1.53519,4.35886,1.48125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-11,15:36:04.75,3,3,"Monke, Carter",839301,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,0,2,0,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.31883,0.853537,-1.710208,1144.666037,272.719039,3:00,5.52625,1.70725,6.26749,-38.39427,0.83366,11.51705,3.11403,1.08986,76.25233,-6.312525,0.372485,0.450785,,,,,,,,,,,,-6.46922,0.62307,-1.58575,50,5.5714,3.19958,-122.38119,0.59724,-9.66983,27.39823,-31.24271,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,ae4fb5a0-35dd-11f1-867c-5dd3df132bdb,83.61516,,,8.0665,,,,,,,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:36:04.75,2026-04-11T15:36:04.7583744-04:00,2026-04-11T19:36:04.7583744Z,,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,da8754fe-b9e5-47fc-9e0e-48ac725faa62,54.22891,-123.3243,13.69912,5.53233,1.67269,-15.62136,-1.70162,3.53244,-4.83491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-11,15:36:25.19,3,4,"Monke, Carter",839301,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,0,3,0,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.4193,-1.621885,-3.14382,2036.913436,186.715696,12:15,5.60717,1.4271,7.01893,-15.51454,18.82666,2.08697,2.8377,-1.25897,80.74086,-4.64604,-2.762185,0.421773,,,,,,,,,,,,-1.99973,10.83064,-1.23606,50,5.5023,6.97704,-128.4123,-3.95937,-3.3321,27.10919,-14.12726,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260411-MichiganState-1,ba7ec230-35dd-11f1-867c-5dd3df132bdb,89.36656,,,7.67844,,,,,,,7f7b7352-db4e-43d7-81f7-fa5791b6d723,2026-04-11,19:36:25.19,2026-04-11T15:36:25.1943936-04:00,2026-04-11T19:36:25.1943936Z,,v3,1551,2290,20345,"Broski, Adam",839305,Right,MIC_SPA,59701f80-149a-4b2b-91dd-6c952a851a28,53.4774,-129.14433,13.5546,5.60407,-3.57789,-7.06363,-1.42567,7.06701,-1.66605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
