PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-12,13:02:26.51,1,1,"Greeley, JD",811675,Right,MIC_SPA,"Mullens, Cooper",822733,Right,MIC_WOL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.59479,-2.087751,-2.09996,2159.559483,212.187619,1:00,5.55926,1.32053,6.54755,-16.90154,16.30887,9.60166,2.23413,0.19408,82.8928,-5.326877,-0.35604,0.414771,,,,,,,,,,,,-5.59567,9.45036,-1.17896,50,5.40728,4.444,-131.59514,-5.24165,-9.81428,27.8723,-15.59902,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,62347980-3691-11f1-bbbd-a5eac8607009,90.87528,,,7.702,,,,,,,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:02:26.51,2026-04-12T13:02:26.5196544-04:00,2026-04-12T17:02:26.5196544Z,,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,937fd228-5512-403b-8619-99d3e05f70ef,53.94986,-132.42909,13.93615,5.55713,-4.77492,-7.79951,-1.31632,4.73765,-4.90714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-12,13:02:43.28,1,2,"Greeley, JD",811675,Right,MIC_SPA,"Mullens, Cooper",822733,Right,MIC_WOL,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,90.06133,-1.124843,-1.616498,2222.057414,203.607898,12:45,5.65858,1.37331,6.55221,-17.75064,15.92812,6.48197,3.1474,0.43084,82.06399,-4.533664,-0.43889,0.417685,94.40333,-9.971628,-26.707967,,,,,18.72719,18.57389,-26.547415,0.136973,-3.87831,9.02378,-1.26429,50,5.57313,3.44243,-130.88415,-3.03882,-6.69828,28.74829,-16.58902,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,6c2c5ac0-3691-11f1-bbbd-a5eac8607009,90.24121,3.16082,,7.99734,,,,0.25358,3.16082,-0.28688,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:02:43.28,2026-04-12T13:02:43.2816128-04:00,2026-04-12T17:02:43.2816128Z,GroundBall,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,676485cb-27b4-47c9-b052-62e8727db5b3,53.94568,-131.74796,14.37414,5.65695,-2.54036,-8.29451,-1.37075,3.64369,-3.34914,209.573494,0.25362,121.8131,-9.91971,,,,,,,3.16036,-23.93157,6.30074,,,,,,,-0.28725,-61.25286,16.40179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-12,13:03:29.49,2,1,"Greeley, JD",811675,Right,MIC_SPA,"Turner, Colby",827522,Right,MIC_WOL,Undefined,1,Top,0,0,0,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,78.59619,0.910009,-0.353218,1691.128027,45.861812,7:30,5.59481,1.29424,5.78823,-50.86109,-4.92752,-6.72087,2.20304,0.40557,71.44007,-8.436829,-1.559365,0.487794,86.28676,18.890063,-11.063705,1482.374529,108.35556,29.12022,-18.9457,281.64465,279.49012,-8.47315,3.120766,3.32091,-2.35835,-1.26104,50,5.63927,0.95752,-114.0771,0.15916,4.31215,23.84913,-35.23636,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,87c3ccf0-3691-11f1-bbbd-a5eac8607009,77.27122,31.91168,,7.15611,,,,1.25508,2.18841,-0.42634,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:03:29.49,2026-04-12T13:03:29.4942720-04:00,2026-04-12T17:03:29.4942720Z,LineDrive,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,8836fc8f-aa85-4870-8bc3-928577acb9aa,54.71071,-115.05771,11.92456,5.60294,1.60799,-17.61818,-1.29677,0.78022,2.15608,205.9063,1.25508,117.51341,-15.16793,3.08303,-0.61335,0.13612,-0.03203,0.00534,-0.00037,2.18835,40.97231,-14.77388,0.40742,0.09781,-0.08875,0.035,-0.0058,0.00031,-0.42641,-22.97722,6.18477,-1.76008,0.4888,-0.1645,0.05131,-0.0097,0.00075,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-12,13:04:10.05,3,1,"Greeley, JD",811675,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.65547,1.085609,0.085683,1608.500234,42.954005,7:30,5.62988,1.4089,5.55689,-53.47389,-7.05016,-8.10835,2.18816,0.81326,71.2775,-8.696998,-1.363644,0.49039,,,,,,,,,,,,4.10677,-3.38437,-1.4109,50,5.68876,0.15151,-114.07339,0.3361,5.31632,24.42255,-36.55521,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,9ff04ec0-3691-11f1-bbbd-a5eac8607009,76.86221,,,7.37797,,,,,,,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:04:10.05,2026-04-12T13:04:10.0567040-04:00,2026-04-12T17:04:10.0567040Z,,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,d3f577cc-870b-4dda-a8f6-bab09091beb6,54.94119,-115.12641,12.21128,5.64029,1.91224,-18.27761,-1.41249,-0.07771,2.65816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-12,13:04:29.16,3,2,"Greeley, JD",811675,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.41491,-3.702493,-1.318822,2183.853665,214.227378,1:15,5.55941,1.42727,6.50321,-17.32154,15.43832,9.78536,0.71215,1.03208,83.76474,-6.995954,0.458765,0.411948,,,,,,,,,,,,-5.50063,9.45686,-1.33907,50,5.29252,2.66715,-132.65281,-9.06066,-9.79298,28.60063,-15.33759,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,ab4cf020-3691-11f1-bbbd-a5eac8607009,91.49803,,,7.65017,,,,,,,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:04:29.16,2026-04-12T13:04:29.1635200-04:00,2026-04-12T17:04:29.1635200Z,,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,5e79c797-6942-4a6f-aa97-f0d0264f58ca,53.99513,-133.51141,14.30032,5.55762,-8.60023,-7.6688,-1.42354,2.96113,-4.89649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-12,13:05:18.55,3,3,"Greeley, JD",811675,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,1,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.24469,2.59433,0.105752,1596.299242,44.066096,7:30,5.65991,1.27415,5.78833,-56.7279,-8.9015,-10.28434,3.3477,0.51551,69.74613,-7.840544,-1.738163,0.497743,,,,,,,,,,,,5.22162,-4.77469,-1.27687,50,5.84045,0.19073,-111.97737,3.21234,6.50632,23.73515,-38.12346,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,c8ccf870-3691-11f1-bbbd-a5eac8607009,75.72669,,,7.49856,,,,,,,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:05:18.55,2026-04-12T13:05:18.5594368-04:00,2026-04-12T17:05:18.5594368Z,,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,a193638e-b0a9-44a7-9a91-c2822ed2271b,54.70982,-112.97127,11.86758,5.67251,4.80874,-19.06173,-1.27915,-0.08172,3.25316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-12,13:05:40.67,3,4,"Greeley, JD",811675,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.17307,-1.372003,-1.474719,2273.897964,195.223949,12:30,5.66909,1.32136,6.45941,-13.12095,20.96926,5.37146,3.31474,0.41405,81.21994,-3.962988,-0.500735,0.420229,73.62336,31.811785,-166.940456,2332.120726,-106.96253,34.8561,-25.66906,194.0553,58.22906,-166.844677,2.564485,-3.24315,11.69548,-1.21916,50,5.56564,3.1444,-130.83666,-3.4009,-5.53911,31.38685,-12.19879,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,d5ee0620-3691-11f1-bbbd-a5eac8607009,89.69495,35.20884,,8.95313,,,,0.81761,3.31313,-0.42191,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:05:40.67,2026-04-12T13:05:40.6703616-04:00,2026-04-12T17:05:40.6703616Z,FlyBall,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,455a4c8e-9e27-405a-9fe7-06caf3585237,54.03414,-131.80087,15.69343,5.66436,-3.02615,-6.09939,-1.31837,3.31456,-2.76955,357.465279,0.81776,-89.39506,5.79889,-0.09114,0.3034,-0.29887,0.15714,-0.03953,0.00376,3.31304,56.92437,-28.70032,3.64209,-0.92433,0.3001,-0.09092,0.01923,-0.00184,-0.42187,-20.73629,0.93797,0.23398,0.01798,-0.06288,0.04006,-0.01075,0.00105,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-12,13:06:07.43,3,5,"Greeley, JD",811675,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,1,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.20329,1.230923,-0.683035,1959.883224,30.755024,7:00,5.62461,1.3044,5.64048,-51.43176,-5.39016,-4.26032,2.48718,0.31217,71.10175,-8.229258,-1.445298,0.488367,69.42875,61.678398,-95.911874,5858.216101,,,,,15.47439,,,1.91095,-2.64307,-1.24363,50,5.69675,1.53698,-114.75206,0.73427,2.48094,26.44881,-35.6055,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,e5e95cf0-3691-11f1-bbbd-a5eac8607009,77.18052,28.34093,,8.10155,,,,1.08652,2.47881,-0.31837,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:06:07.43,2026-04-12T13:06:07.4392576-04:00,2026-04-12T17:06:07.4392576Z,,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,80d3eedd-2c4f-4b99-bd71-fa6908a05b9d,54.85603,-115.86591,13.2244,5.63425,2.23373,-17.80275,-1.30616,1.4325,1.24047,26.891994,1.09045,-5.14092,-6.31741,,,,,,,2.48339,89.44857,-26.11713,,,,,,,-0.31793,-48.07149,2.04888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2026-04-12,13:08:08.07,3,6,"Greeley, JD",811675,Right,MIC_SPA,"Haeger, Evan",804009,Left,MIC_WOL,Undefined,1,Top,1,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.0371,-0.626827,-1.080714,2099.567342,54.510089,7:45,5.58671,1.39202,5.61827,-47.79148,-2.59366,-5.60823,1.01898,-0.08403,72.86855,-9.333571,-2.084595,0.483872,,,,,,,,,,,,2.55331,-0.75425,-1.29608,50,5.50222,2.37882,-114.80987,-2.84308,3.40074,21.67923,-33.17865,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,2dd22d30-3692-11f1-bbbd-a5eac8607009,77.8976,,,6.16855,,,,,,,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:08:08.07,2026-04-12T13:08:08.0790528-04:00,2026-04-12T17:08:08.0790528Z,,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,e24eb8a3-11eb-4742-8d33-c7d4a22f9051,54.88195,-115.72805,10.83961,5.59288,-1.43788,-16.58932,-1.39378,2.23479,1.70037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-12,13:08:41.39,4,1,"Greeley, JD",811675,Right,MIC_SPA,"Miller, Noah",806165,Right,MIC_WOL,Undefined,1,Top,2,0,0,FourSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.44263,0.012337,-2.057955,2132.734781,223.086133,1:30,5.60548,1.29489,6.47421,-20.64127,13.68225,11.73638,3.89671,0.38226,81.24922,-3.928905,0.070485,0.421665,,,,,,,,,,,,-6.68843,7.48418,-1.15445,50,5.59704,4.19337,-129.91526,-0.54824,-11.36451,28.69501,-19.45742,MIC_SPA,MIC_WOL,MichiganState,D1,BIG10,20260412-MichiganState-1,41a69f80-3692-11f1-bbbd-a5eac8607009,89.3896,,,8.19342,,,,,,,b04f1235-2af0-4f14-9409-6ddf7ef52939,2026-04-12,17:08:41.39,2026-04-12T13:08:41.3915648-04:00,2026-04-12T17:08:41.3915648Z,,v3,1551,2290,20346,"Bright, Noah",839304,Right,MIC_SPA,2b5bb9ea-b9ba-4921-aa13-1121d9727340,54.02187,-130.80057,14.3475,5.6047,0.05207,-9.72871,-1.28924,4.54399,-5.68226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
