PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-22,18:02:59.44,1,1,"Chambers, Brady",839303,Right,MIC_SPA,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.31518,-0.868429,-1.760836,2236.019328,190.543833,12:15,6.23781,1.70634,7.24073,-19.72903,13.63146,2.33571,3.80742,0.30704,81.40339,-4.683351,-1.330933,0.415707,,,,,,,,,,,,-1.76295,7.92197,-1.60636,50,6.18213,3.9102,-129.90545,-2.42299,-2.99731,28.49871,-18.70535,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,06ce6750-3e97-11f1-92df-8f28066069c2,90.6706,,,7.91178,,,,,,,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:02:59.44,2026-04-22T18:02:59.4483200-04:00,2026-04-22T22:02:59.4483200Z,,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,c2a3c220-21ae-4d29-9143-76dc2a2da2fd,53.25542,-130.61768,14.24935,6.23684,-1.95552,-9.35267,-1.70502,3.98511,-1.49865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-22,18:03:16.51,1,2,"Chambers, Brady",839303,Right,MIC_SPA,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.57082,0.629147,-1.101798,2399.807683,55.658362,7:45,6.40502,1.68145,6.462,-49.55908,-4.35677,-8.83745,2.85311,-0.06716,70.89441,-8.610952,-2.707559,0.483896,,,,,,,,,,,,4.19323,-1.91189,-1.6003,50,6.42883,2.51135,-114.04198,-0.20991,5.38865,25.70167,-34.63099,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,11059b80-3e97-11f1-92df-8f28066069c2,77.89372,,,7.67641,,,,,,,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:03:16.51,2026-04-22T18:03:16.5147648-04:00,2026-04-22T22:03:16.5147648Z,,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,f60490d2-bdfa-4bb2-b332-69987d3c0570,54.03429,-114.94759,12.85084,6.41472,1.01033,-17.3155,-1.68545,2.32148,2.69432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-22,18:03:33.50,1,3,"Chambers, Brady",839303,Right,MIC_SPA,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,1,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.53646,-0.129638,0.205123,2510.240777,65.347153,8:15,6.31428,1.65237,6.22741,-46.26869,-2.02311,-7.86044,2.33895,1.18658,72.13837,-8.714135,-1.218126,0.478747,,,,,,,,,,,,4.10055,-0.44532,-1.66419,50,6.28269,-0.11864,-115.46631,-1.68913,5.43781,25.05592,-32.7646,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,1b23a260-3e97-11f1-92df-8f28066069c2,78.73141,,,7.39809,,,,,,,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:03:33.50,2026-04-22T18:03:33.5017472-04:00,2026-04-22T22:03:33.5017472Z,,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,6156546e-52ee-4ead-86e6-a5cb13434370,54.26871,-116.38892,12.52796,6.32268,-0.48266,-16.3823,-1.65613,-0.31887,2.71891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-22,18:03:54.08,1,4,"Chambers, Brady",839303,Right,MIC_SPA,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.49694,-1.321914,-1.595478,2239.563284,186.515225,12:15,6.20832,1.78955,7.39168,-21.23206,11.87674,1.23095,3.24555,0.45216,81.47851,-5.422313,-1.368168,0.414136,74.40744,55.587421,78.154219,5085.377989,-4.42708,96.00406,109.91087,186.61525,64.62256,96.197505,4.762238,-1.14847,7.17256,-1.70301,50,6.13058,3.58462,-130.19506,-3.49384,-1.95485,29.46095,-19.96535,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,275bfdc0-3e97-11f1-92df-8f28066069c2,91.0146,96.24271,,8.01843,,,,0.36574,3.14326,-0.42906,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:03:54.08,2026-04-22T18:03:54.0861440-04:00,2026-04-22T22:03:54.0861440Z,Popup,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,bd717736-72d5-4807-86bc-e49eecaddbc1,53.10567,-130.89594,14.73048,6.20805,-3.01886,-9.98268,-1.78884,3.63113,-0.97742,212.916748,0.40938,11.64078,-7.5921,-4.26585,6.60088,-3.48104,0.92708,-0.12307,0.00647,3.15627,89.79334,-25.33244,1.65023,0.24189,-0.10734,-0.00705,0.00628,-0.00061,-0.41053,59.98046,-6.99744,-0.8958,1.69173,-0.74566,0.15609,-0.01538,0.00055,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-04-22,18:04:19.03,1,5,"Chambers, Brady",839303,Right,MIC_SPA,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,2,2,Curveball,Slider,InPlay,Undefined,LineDrive,Single,0,0,,80.16865,0.304996,-1.697777,2419.082711,65.131617,8:15,6.30679,1.56381,6.4667,-45.86762,-3.45855,-10.17879,2.76473,-0.84419,74.02017,-8.188504,-3.545927,0.468706,92.86722,8.266613,-0.585444,2799.481728,109.99908,5.80072,-0.38546,145.54238,145.54238,-0.357672,1.253401,4.87803,-1.53028,-1.43979,50,6.30819,3.80688,-116.62646,-0.72887,6.72021,21.88398,-34.28222,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,36432570-3e97-11f1-92df-8f28066069c2,80.41801,7.92547,,6.14848,,,,0.8525,2.71748,0.83624,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:04:19.03,2026-04-22T18:04:19.0323712-04:00,2026-04-22T22:04:19.0323712Z,LineDrive,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,38b7d7ce-7be8-4223-aff6-201a3356ac94,54.03431,-117.38103,10.94199,6.31294,0.45319,-17.14111,-1.56705,3.57516,3.36011,1.928839,0.8525,134.78279,-17.9921,2.617,-0.57779,0.11694,-0.02336,0.00417,-0.00042,2.71748,19.5835,-19.34283,1.93295,-0.36173,0.0848,-0.01619,0.00271,-0.00028,0.83624,-1.37725,0.16399,-0.15231,0.01415,-0.00442,0.00079,-0.00014,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-22,18:04:55.55,2,1,"Chambers, Brady",839303,Right,MIC_SPA,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,0,0,0,Cutter,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.17085,0.290587,-1.299121,2282.744197,56.317565,8:00,6.16158,1.86207,6.28258,-45.2627,-3.73713,-7.41272,2.65759,0.0468,75.08689,-8.060059,-2.641082,0.463798,,,,,,,,,,,,3.50465,-1.62894,-1.76289,50,6.16141,2.94645,-118.09377,-0.80646,4.96855,21.66733,-34.48342,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,4c0de980-3e97-11f1-92df-8f28066069c2,81.26903,,,6.08396,,,,,,,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:04:55.55,2026-04-22T18:04:55.5554304-04:00,2026-04-22T22:04:55.5554304Z,,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,df1278d2-76f8-4a98-956b-df2d783e8e9b,54.21804,-118.86516,10.83367,6.16827,0.4212,-17.24171,-1.86464,2.76957,2.48428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-22,18:05:14.49,2,2,"Chambers, Brady",839303,Right,MIC_SPA,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.02496,0.924348,-1.501413,2135.041116,197.484176,12:30,6.31634,1.6561,7.21415,-21.42946,12.38446,3.61406,5.36781,0.59758,81.38481,-3.180217,-0.836684,0.418523,,,,,,,,,,,,-2.29866,6.74205,-1.57052,50,6.36274,3.23683,-128.22036,1.55662,-3.87524,23.36425,-20.80784,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,57499560-3e97-11f1-92df-8f28066069c2,90.06068,,,6.64015,,,,,,,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:05:14.49,2026-04-22T18:05:14.4990000-04:00,2026-04-22T22:05:14.4990000Z,,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,a69c2486-e4ee-48e5-b36a-5aa26ebcd060,53.28435,-128.81744,11.68213,6.31617,2.08838,-10.40392,-1.65451,3.33587,-1.93762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3369,1.651284,0.763955,0.887329,-2.96624,5.10928,-0.53572,-3.17561,6.84828,2.80224,66.27483,5.17704,58.50899,-3.12765,86.82797,-9.80397,6.85185,8.17529,-11.35007,2.81927,66.56608,-4.32335,High,High,High,,,High,High,High
8,2026-04-22,18:05:39.55,2,3,"Chambers, Brady",839303,Right,MIC_SPA,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.70157,-1.10313,-3.141229,2187.207463,198.64882,12:30,6.16243,1.73541,7.27323,-19.84785,12.91367,4.03335,3.50919,-0.77215,82.58473,-4.91478,-2.399707,0.411958,,,,,,,,,,,,-2.98744,7.56264,-1.55874,50,6.09403,7.01976,-130.45696,-2.98178,-5.1788,25.92941,-19.06413,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,663aa820-3e97-11f1-92df-8f28066069c2,91.49573,,,7.11684,,,,,,,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:05:39.55,2026-04-22T18:05:39.5599360-04:00,2026-04-22T22:05:39.5599360Z,,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,a1d8468a-4042-4bd0-963b-21cfce0287e8,53.22492,-131.09637,12.96471,6.16176,-2.51167,-9.53206,-1.73342,7.14747,-2.5894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-22,18:06:00.05,2,4,"Chambers, Brady",839303,Right,MIC_SPA,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,0,2,1,Cutter,Curveball,InPlay,Undefined,Popup,Single,0,0,,82.04666,0.249624,-2.399148,2357.142992,62.614971,8:00,6.17232,1.77439,6.40949,-44.00857,-3.16063,-8.58237,2.73466,-1.14797,75.28156,-7.904422,-3.953947,0.459999,63.74257,32.146117,3.50276,3045.25944,109.99461,42.37322,-1.08746,196.92095,189.4316,-4.314887,3.512301,3.8004,-1.37874,-1.59895,50,6.17026,5.30003,-119.2291,-0.81385,5.43855,24.1763,-34.14712,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,72765ee0-3e97-11f1-92df-8f28066069c2,81.94034,42.37799,,6.7651,,,,1.21741,2.7932,1.16785,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:06:00.05,2026-04-22T18:06:00.0556032-04:00,2026-04-22T22:06:00.0556032Z,FlyBall,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,39f8b5a4-da4a-4471-bc4f-b2ca867cff1c,54.09084,-120.05574,12.08815,6.17813,0.35372,-17.07356,-1.77699,5.11407,2.71928,143.291462,1.21773,79.00007,-11.33453,2.15335,-0.36734,0.07249,-0.02696,0.00743,-0.00073,2.79321,49.74,-16.82785,0.75965,0.12651,-0.18061,0.08393,-0.01715,0.0013,1.16813,4.82894,-5.43351,1.46033,-0.33355,0.08656,-0.0288,0.00635,-0.00054,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-22,18:06:40.98,3,1,"Chambers, Brady",839303,Right,MIC_SPA,"Coy, Noah",814566,Left,NOT_IRI,Undefined,1,Top,0,0,0,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.39073,-0.129778,-2.639621,2523.323116,87.377018,9:00,6.30054,1.78117,6.42318,-44.02581,0.71732,-14.79446,2.51231,-1.87976,72.11595,-8.287642,-5.317989,0.481432,,,,,,,,,,,,7.06508,0.73461,-1.58613,50,6.27113,5.73783,-113.91268,-1.49523,9.22328,22.18762,-31.21502,MIC_SPA,NOT_IRI,MichiganState,D1,BIG10,20260422-MichiganState-1,8adc6740-3e97-11f1-92df-8f28066069c2,78.29239,,,6.27478,,,,,,,c3a75ee3-1af6-4ed3-85e7-9d4e02eec476,2026-04-22,22:06:40.98,2026-04-22T18:06:40.9878016-04:00,2026-04-22T22:06:40.9878016Z,,v3,1551,225,20352,"Broski, Adam",839305,Right,MIC_SPA,4c938973-03c6-4230-8b94-88053cc54bbe,54.07813,-114.70426,11.09381,6.30461,-0.38159,-15.60751,-1.78496,5.40877,4.61164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
