PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-09,15:03:03.36,1,1,"Domke, Chris",824467,Right,OSU_BUC,"Williams, Nick",824598,Right,MIC_SPA,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.87257,-2.071137,-3.022255,2356.148838,205.54129,12:45,5.86737,1.66317,5.67495,-14.64174,18.2808,8.20209,2.71283,-0.47351,84.342,-4.868184,-1.559025,0.41297,77.21682,10.556887,175.843274,2328.727708,,,,78.06333,48.9201,171.453574,0.71014,-4.93823,10.12717,-1.4127,50,5.68294,6.70296,-134.47797,-5.29121,-9.00869,30.19583,-13.6993,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,4fa5dda0-4bda-11f1-868b-23fc72e73e81,91.2717,5.50759,,8.53058,,,,-0.2008,2.39162,1.19706,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:03:03.36,2026-05-09T15:03:03.3645056-04:00,2026-05-09T19:03:03.3645056Z,GroundBall,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,1fb678f7-756e-442a-9ba2-252c43651fad,54.81818,-135.55553,15.09791,5.86304,-4.80234,-6.84965,-1.65763,7.02445,-4.50435,28.607247,-0.13819,-112.21104,5.08828,,,,,,,2.41343,20.346,-33.47972,,,,,,,1.17767,8.43,8.83624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
2,2026-05-09,15:03:23.44,1,2,"Domke, Chris",824467,Right,OSU_BUC,"Williams, Nick",824598,Right,MIC_SPA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.59767,1.148399,-3.160233,1425.792189,256.956175,2:30,5.84428,1.50496,5.72374,-36.68498,4.74642,14.64225,3.85862,-0.22135,75.22529,-5.632887,-0.544749,0.463272,,,,,,,,,,,,-8.30193,2.51752,-1.2498,50,5.91791,6.01295,-119.75237,1.17742,-12.01387,23.87219,-28.53091,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,5ba7e6c0-4bda-11f1-868b-23fc72e73e81,81.36132,,,7.37238,,,,,,,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:03:23.44,2026-05-09T15:03:23.4462720-04:00,2026-05-09T19:03:23.4462720Z,,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,7ba7b5a7-4a32-407d-b4a2-d6b3464969b1,54.77456,-120.70041,11.9361,5.84865,2.31047,-14.26546,-1.49806,6.49005,-6.00694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-09,15:03:38.67,1,3,"Domke, Chris",824467,Right,OSU_BUC,"Williams, Nick",824598,Right,MIC_SPA,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.88493,-1.406998,-2.80176,2394.078978,215.548641,1:15,5.84254,1.49881,5.74073,-15.73938,17.22261,11.47473,3.21901,-0.15584,83.89819,-4.417657,-0.751141,0.413217,90.39441,48.654786,12.560629,4440.24378,105.89499,109.72233,29.76972,306.78344,150.32508,19.217581,5.944207,-6.70154,9.53406,-1.27268,50,5.71594,6.0663,-134.58829,-3.78795,-12.15683,32.21254,-14.8789,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,64b4cbc0-4bda-11f1-868b-23fc72e73e81,91.21712,132.64984,,8.98675,,,,0.74969,3.23916,0.15637,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:03:38.67,2026-05-09T15:03:38.6779136-04:00,2026-05-09T19:03:38.6779136Z,FlyBall,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,4b5dba19-a50d-42e4-948b-6a09abe576d9,54.75664,-135.72198,16.10627,5.84004,-3.2643,-7.43945,-1.49371,6.49414,-6.07842,196.431987,0.7553,85.37174,-16.76688,3.51989,-0.33635,-0.04547,0.01855,-0.00215,9E-05,3.23757,99.55741,-23.64189,2.66363,-0.52749,0.06368,-0.00038,-0.00077,6E-05,0.15698,19.04186,-0.13385,-0.10479,0.00403,0.01248,-0.00442,0.0006,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-05-09,15:04:12.76,2,1,"Domke, Chris",824467,Right,OSU_BUC,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.26379,-0.92979,-2.673088,2470.077578,216.304888,1:15,6.06831,1.38666,6.02384,-14.21166,18.94863,13.03489,4.02184,-0.00467,82.96771,-3.69453,-0.330971,0.414458,,,,,,,,,,,,-7.46886,10.33442,-1.18387,50,5.98758,5.6537,-133.70244,-2.53676,-13.32184,32.76658,-13.741,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,79063640-4bda-11f1-868b-23fc72e73e81,90.94391,,,9.29608,,,,,,,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:04:12.76,2026-05-09T15:04:12.7607296-04:00,2026-05-09T19:04:12.7607296Z,,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,ec702989-bcb5-4a7d-ac27-4f2860ce4b8a,54.47098,-134.79369,16.38329,6.06445,-2.07913,-6.8705,-1.37955,6.09737,-6.66092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-09,15:04:29.16,2,2,"Domke, Chris",824467,Right,OSU_BUC,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.51218,-2.62818,-3.358637,2468.418794,220.7212,1:15,6.01328,1.37287,5.54308,-16.97666,16.72489,13.31993,2.13637,-0.65963,83.29698,-5.851918,-0.988055,0.417827,,,,,,,,,,,,-7.76859,9.63465,-1.09051,50,5.77416,7.22617,-133.76444,-6.69271,-13.86769,32.82842,-14.97524,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,82d0c5f0-4bda-11f1-868b-23fc72e73e81,90.21065,,,9.2152,,,,,,,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:04:29.16,2026-05-09T15:04:29.1606016-04:00,2026-05-09T19:04:29.1606016Z,,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,2614d993-b3de-4da8-8335-caab7e342bde,54.95303,-134.97454,16.41421,6.01069,-6.14071,-7.48762,-1.3663,7.73735,-6.93385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-09,15:04:44.66,2,3,"Domke, Chris",824467,Right,OSU_BUC,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,92.17798,-2.670038,-2.443667,2464.942083,215.598913,1:15,6.06577,1.36836,5.58983,-15.68611,18.0154,12.03493,2.26135,0.08809,83.34759,-5.658917,-0.297578,0.417826,86.47,15.189942,-23.426432,2994.314024,98.09109,18.82881,-49.7803,214.43636,214.43636,-29.950417,2.198828,-6.83709,10.288,-1.16653,50,5.8264,5.14373,-133.46003,-6.71194,-12.19624,31.66209,-13.82194,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,8c0927c0-4bda-11f1-868b-23fc72e73e81,90.21075,18.83699,,8.8304,,,,0.35884,2.16194,-0.08805,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:04:44.66,2026-05-09T15:04:44.6606336-04:00,2026-05-09T19:04:44.6606336Z,LineDrive,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,3202d5f1-514a-4283-99df-dcf2b591a411,54.90736,-134.61922,15.83104,6.06287,-6.2059,-6.91097,-1.36302,5.59025,-6.09812,112.155919,0.35884,112.30301,-18.3995,3.85111,-0.79403,0.13571,-0.02245,0.00306,-0.00021,2.16194,33.22999,-17.56137,1.08418,-0.10101,0.00607,0.00243,-0.00027,-1E-05,-0.08805,-48.65943,-1.77137,1.54488,-0.53819,0.13883,-0.02867,0.00405,-0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-05-09,15:05:25.37,3,1,"Domke, Chris",824467,Right,OSU_BUC,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.75049,-1.949929,-3.201131,2485.321726,215.891011,1:15,5.9674,1.62091,5.60164,-18.14249,15.40363,10.3878,2.63161,-0.50498,84.064,-5.351323,-1.350335,0.416862,,,,,,,,,,,,-6.11264,8.64119,-1.35343,50,5.78851,6.97182,-133.01969,-5.13913,-10.99142,27.57589,-16.63596,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,a44e1390-4bda-11f1-868b-23fc72e73e81,90.41942,,,7.68648,,,,,,,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:05:25.37,2026-05-09T15:05:25.3754368-04:00,2026-05-09T19:05:25.3754368Z,,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,0f5d1b6a-ac70-4ccf-892c-9b2f0ae6b3c1,54.89721,-134.03107,13.78794,5.9658,-4.52899,-8.31798,-1.61652,7.37495,-5.49571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-09,15:05:44.74,3,2,"Domke, Chris",824467,Right,OSU_BUC,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.24447,-1.355858,-4.303867,1743.485918,235.47127,1:45,5.89384,1.4637,5.92915,-29.60887,10.953,13.96213,2.16463,-1.3736,75.99337,-6.868954,-1.803985,0.458385,,,,,,,,,,,,-8.34957,6.41575,-1.12688,50,5.76853,8.51605,-120.55509,-3.78234,-12.25249,24.06515,-22.7593,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,afe15550-4bda-11f1-868b-23fc72e73e81,82.22876,,,7.2511,,,,,,,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:05:44.74,2026-05-09T15:05:44.7449088-04:00,2026-05-09T19:05:44.7449088Z,,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,0ba4d33f-61f6-4428-b60e-4875a75f40b7,54.56873,-121.46367,12.03258,5.89512,-2.92306,-11.37965,-1.45713,8.97865,-6.12625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-09,15:06:02.86,3,3,"Domke, Chris",824467,Right,OSU_BUC,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.9384,-2.35146,-2.946961,2440.198184,217.224062,1:15,5.82573,1.75266,5.48749,-15.81615,17.48217,12.37548,2.30366,0.0245,83.9639,-5.358997,-0.745848,0.41532,,,,,,,,,,,,-7.14697,9.88347,-1.50292,50,5.60906,6.34657,-134.51563,-6.03553,-12.94975,32.20098,-14.26594,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,baab7ab0-4bda-11f1-868b-23fc72e73e81,90.75524,,,8.9745,,,,,,,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:06:02.86,2026-05-09T15:06:02.8696064-04:00,2026-05-09T19:06:02.8696064Z,,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,25cf3cc1-0a6c-41ec-a582-74d6a8f5a3fc,55.00983,-135.7096,16.10049,5.82304,-5.50656,-7.13297,-1.74715,6.82673,-6.47488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-09,15:06:31.58,3,4,"Domke, Chris",824467,Right,OSU_BUC,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,1,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.71264,0.124104,-2.050548,2137.031187,66.439739,8:15,5.77405,1.65513,5.11726,-49.4503,-3.17067,-10.40253,1.77018,-1.1442,72.82981,-8.791902,-3.891718,0.489628,,,,,,,,,,,,4.6776,-1.2835,-1.45354,50,5.74671,4.50362,-114.27533,-1.50095,6.20169,20.53951,-33.87575,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260509-NickSwisherField-1,cbcc3eb0-4bda-11f1-868b-23fc72e73e81,76.98175,,,5.88283,,,,,,,e9da4e48-51ed-4263-9951-17d067ceb8f4,2026-05-09,19:06:31.58,2026-05-09T15:06:31.5838464-04:00,2026-05-09T19:06:31.5838464Z,,v3,4144,1551,8ad87571a12a466dae801da27d2f3dd8,"Mangrum, Grant",838712,Right,OSU_BUC,f083a8c0-accb-4777-9bcd-f3b9a5aaf5bc,55.385,-115.23915,10.26976,5.77984,0.08867,-16.93788,-1.65805,4.2126,3.10085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
