PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-10,13:03:27.91,1,1,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Williams, Nick",824598,Right,MIC_SPA,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,91.42311,-1.178195,-3.800514,2441.626208,247.735385,2:15,5.37753,1.79354,6.53696,-25.50808,7.68748,15.81922,2.16865,-0.37925,82.39331,-6.005915,-0.932161,0.414678,98.26306,-6.296541,-22.0468,,,,,20.37728,19.28697,-19.097044,0.13111,-9.55386,4.7639,-1.53612,50,5.28488,8.17071,-132.5113,-3.51124,-16.69953,32.79103,-23.84705,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,c54e1140-4c92-11f1-868b-23fc72e73e81,90.8956,2.27365,,9.0298,,,,1.88761,2.27365,0.24246,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:03:27.91,2026-05-10T13:03:27.9122432-04:00,2026-05-10T17:03:27.9122432Z,GroundBall,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,09e1b7fd-38bc-4be4-ad54-33581748672f,53.96155,-133.48802,16.39552,5.37889,-2.80093,-11.92353,-1.7869,8.66812,-8.34976,240.875471,1.88762,132.77425,-2.31929,,,,,,,2.27366,-15.80781,-11.69944,,,,,,,0.24241,-53.76595,8.14961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
2,2026-05-10,13:04:18.14,2,1,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,0,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.57861,-0.943477,-3.465364,2405.927535,250.587848,2:15,5.19535,2.33172,6.33025,-25.76474,6.7591,16.51588,2.17783,0.51311,84.49308,-5.751013,-0.480734,0.410461,73.85308,21.196691,-140.652638,2956.722772,-88.34385,21.4045,-65.5384,173.52045,54.83337,-145.564521,2.248346,-9.48784,4.05012,-2.08634,50,5.11413,7.39328,-133.06204,-3.03468,-17.16465,26.12694,-24.84691,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,e344a920-4c92-11f1-868b-23fc72e73e81,91.82946,22.16537,,7.08553,,,,0.40975,2.37182,-0.54919,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:04:18.14,2026-05-10T13:04:18.1431808-04:00,2026-05-10T17:04:18.1431808Z,LineDrive,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,548ec6b0-4f74-41a7-8753-d23637b0f556,54.17123,-133.87856,13.06347,5.19683,-2.25816,-12.42346,-2.32578,7.92971,-8.58233,,0.40979,-78.09864,6.73565,-0.37312,0.08782,0.03186,-0.03693,0.01561,-0.00242,2.37184,39.16369,-21.04209,1.9435,-0.42512,0.17122,-0.07511,0.0218,-0.00268,-0.54921,-64.02881,11.89242,-1.84497,0.49119,-0.20738,0.09115,-0.02244,0.00206,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-05-10,13:04:40.65,2,2,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.35139,-0.157804,-3.022947,2404.426543,250.96436,2:15,5.15847,2.40929,6.34086,-25.01064,6.94701,17.45469,2.92876,1.07818,85.05652,-4.835926,0.133171,0.406873,,,,,,,,,,,,-9.82894,3.95547,-2.19693,50,5.13515,6.37006,-134.24599,-1.1897,-18.08778,26.77407,-24.89494,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,f0af9110-4c92-11f1-868b-23fc72e73e81,92.63932,,,7.29487,,,,,,,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:04:40.65,2026-05-10T13:04:40.6570496-04:00,2026-05-10T17:04:40.6570496Z,,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,e6991e03-3b73-472b-a830-9733beb10916,54.16003,-135.07311,13.38704,5.16003,-0.42062,-12.44747,-2.40236,6.92885,-9.04389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-10,13:05:02.15,2,3,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.44893,0.44169,-3.267219,1345.474274,257.434192,2:30,5.056,2.52854,5.80994,-39.47549,3.2061,9.32689,2.17779,0.26424,74.90301,-6.7927,-1.598216,0.47021,,,,,,,,,,,,-5.53583,1.8787,-2.2661,50,5.06841,6.32465,-116.91392,-0.37263,-7.79161,18.55278,-29.5298,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,fd895c90-4c92-11f1-868b-23fc72e73e81,80.16086,,,5.54592,,,,,,,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:05:02.15,2026-05-10T13:05:02.1538816-04:00,2026-05-10T17:05:02.1538816Z,,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,e7da7059-fe63-4cb2-97d7-56cbf3e24c73,54.69193,-117.65612,9.27639,5.05969,0.80869,-14.7649,-2.52534,6.63635,-3.89581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-10,13:05:22.06,2,4,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.36786,2.163478,0.599826,2581.139576,54.41938,7:45,5.30532,2.24823,5.96045,-51.45243,-9.27709,-14.81926,3.02486,1.56952,74.47843,-7.292104,-2.065996,0.467413,,,,,,,,,,,,7.71433,-4.88567,-2.28794,50,5.44902,-0.65651,-118.21705,2.728,10.87497,23.34438,-39.06139,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,09620bc0-4c93-11f1-868b-23fc72e73e81,80.64055,,,6.88942,,,,,,,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:05:22.06,2026-05-10T13:05:22.0671488-04:00,2026-05-10T17:05:22.0671488Z,,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,da26460f-7fae-4531-b6d3-da96ddb236d7,54.54132,-119.11046,11.67219,5.31601,4.22289,-19.5307,-2.25485,-1.0727,5.43748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-10,13:05:41.12,2,5,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,0,2,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.59744,0.721747,-2.159255,2413.862785,259.871861,2:45,5.07401,2.37413,6.39151,-28.42435,4.2454,18.04261,3.36966,1.89073,83.6614,-4.601862,1.108801,0.411381,,,,,,,,,,,,-9.94666,2.34921,-2.22636,50,5.11306,4.27056,-133.12758,0.73933,-17.83221,28.85398,-27.96243,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,14bb03a0-4c93-11f1-868b-23fc72e73e81,91.62413,,,7.93604,,,,,,,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:05:41.12,2026-05-10T13:05:41.1254272-04:00,2026-05-10T17:05:41.1254272Z,,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,f57c3551-b3b8-4e2d-a04a-ec6baf6e006d,54.10809,-134.01501,14.42699,5.0771,1.59934,-13.98121,-2.36614,4.819,-8.91611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-10,13:06:27.70,3,1,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.11505,3.256754,-0.854935,2419.459658,49.749392,7:45,5.47472,1.9376,5.95785,-53.55731,-8.05197,-11.06827,4.03532,0.22237,71.92248,-6.576946,-2.842571,0.485515,,,,,,,,,,,,5.41666,-4.51528,-1.86374,50,5.70403,2.10527,-113.46005,4.73653,7.09214,19.89701,-38.08602,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,308a0090-4c93-11f1-868b-23fc72e73e81,77.63395,,,6.19257,,,,,,,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:06:27.70,2026-05-10T13:06:27.7076992-04:00,2026-05-10T17:06:27.7076992Z,,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,2d88e174-4bed-4ac0-95ba-ee82a2deed7e,54.54455,-114.25423,9.9485,5.48464,6.25671,-19.04301,-1.94212,1.82219,3.54607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-05-10,13:06:58.83,3,2,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,1,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.09478,-1.338164,-4.086653,2362.721227,243.308685,2:00,5.44943,1.83456,6.46528,-23.52462,9.36213,16.63115,2.25661,-0.53939,83.67116,-5.761181,-1.077199,0.412745,,,,,,,,,,,,-9.74902,5.56571,-1.55251,50,5.34426,8.77961,-132.20549,-3.81881,-17.34025,26.87177,-22.27453,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,430b6600-4c93-11f1-868b-23fc72e73e81,91.32135,,,7.42362,,,,,,,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:06:58.83,2026-05-10T13:06:58.8321792-04:00,2026-05-10T17:06:58.8321792Z,,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,4989554f-8a98-433e-b26d-6ea4775b380b,54.03492,-133.02309,13.43588,5.45013,-3.14109,-11.13726,-1.82766,9.3072,-8.67012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-10,13:07:17.92,3,3,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,1,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.04095,-1.433772,-4.901515,2347.219135,241.634427,2:00,5.38979,1.81966,6.57984,-23.70623,9.10949,15.03749,2.09515,-1.43035,83.70443,-5.893138,-2.179773,0.412299,,,,,,,,,,,,-9.12882,5.47622,-1.48834,50,5.28114,10.7247,-132.0007,-4.03006,-16.21028,26.40609,-22.4498,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,4e6fa880-4c93-11f1-868b-23fc72e73e81,91.42012,,,7.33652,,,,,,,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:07:17.92,2026-05-10T13:07:17.9282944-04:00,2026-05-10T17:07:17.9282944Z,,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,06b6b612-2e15-4128-baee-616d81a56aaa,53.91999,-132.78256,13.20304,5.39062,-3.36534,-11.2249,-1.813,11.20467,-8.10514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-10,13:07:35.50,3,4,"Herrenbruck, Pierce",838718,Right,OSU_BUC,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,1,2,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.00887,-0.07376,-2.98856,2315.489152,248.578939,2:15,5.29425,1.89944,6.48758,-25.43395,7.57134,16.64064,3.10695,0.5399,83.1237,-4.863535,0.028504,0.413488,48.06416,1.356023,40.773935,4629.972619,,,,41.54881,34.885,42.574856,0.594568,-9.55784,4.3002,-1.69642,50,5.27788,6.24326,-132.22158,-0.9593,-16.89911,28.51868,-24.57094,OSU_BUC,MIC_SPA,NickSwisherField,D1,BIG10,20260510-NickSwisherField-1,58e56c50-4c93-11f1-868b-23fc72e73e81,91.15721,3.10642,,7.88516,,,,1.02882,3.04667,-0.39027,0fc2521b-e7ca-4116-90c6-95cf6feb1c17,2026-05-10,17:07:35.50,2026-05-10T13:07:35.5012608-04:00,2026-05-10T17:07:35.5012608Z,GroundBall,v3,4144,1551,06703fb0eb4a462580b842359c14439f,"Eckelman, Mason",806065,Right,OSU_BUC,f1772b2f-573c-4cd9-a184-0863f82b429f,54.01264,-133.08424,14.25934,5.29566,-0.21605,-12.28547,-1.89301,6.75445,-8.44955,241.45595,1.03277,53.28022,-5.99379,,,,,,,3.04751,1.65135,-11.40098,,,,,,,-0.39199,46.0647,3.15379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
