PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-01,18:05:33.15,1,1,"Greeley, JD",811675,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.99882,-0.882252,-2.42288,2044.906535,204.961682,12:45,5.51148,1.33948,6.69217,-17.9969,15.29914,6.65685,3.20413,-0.32284,82.64022,-4.327425,-1.211308,0.415306,,,,,,,,,,,,-4.13764,8.61186,-1.18034,50,5.44515,5.28116,-130.84853,-2.48329,-7.20819,26.3581,-17.17131,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,e029c760-45a9-11f1-a7cb-9fa6daf3a988,90.75831,,,7.3586,,,,,,,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:05:33.15,2026-05-01T18:05:33.1560000-04:00,2026-05-01T22:05:33.1560000Z,,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,88b0e4f5-e72e-4b4b-acab-373212b20ab5,53.80567,-131.61291,13.17905,5.50995,-1.98532,-8.58566,-1.33653,5.49019,-3.60409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-01,18:05:54.52,1,2,"Greeley, JD",811675,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.15355,0.199616,-0.826151,2106.838567,214.05992,1:15,5.53969,1.41551,6.49643,-17.76462,15.85804,9.99627,4.24255,1.49014,82.12571,-3.213536,0.988417,0.417338,,,,,,,,,,,,-5.42988,8.55485,-1.36147,50,5.54553,1.48662,-131.05736,-0.01263,-9.41761,28.41901,-17.33652,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,ecdcf810-45a9-11f1-a7cb-9fa6daf3a988,90.31642,,,8.02784,,,,,,,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:05:54.52,2026-05-01T18:05:54.5200000-04:00,2026-05-01T22:05:54.5200000Z,,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,3c7bafe5-8a6d-4e45-aa37-299937661fe8,54.00006,-131.9219,14.20951,5.5379,0.51476,-8.66826,-1.41105,1.77312,-4.70881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-01,18:06:15.80,1,3,"Greeley, JD",811675,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.83971,0.309248,-1.06631,1610.153469,55.988246,7:45,5.50027,1.33548,5.75036,-49.01562,-4.0889,-7.99776,1.70358,-0.32379,72.98982,-8.638203,-2.500332,0.482418,,,,,,,,,,,,3.79756,-1.7661,-1.24202,50,5.49592,2.43398,-114.62631,-0.98875,5.07281,20.39266,-34.53322,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,f9a00740-45a9-11f1-a7cb-9fa6daf3a988,78.1323,,,5.84989,,,,,,,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:06:15.80,2026-05-01T18:06:15.8090000-04:00,2026-05-01T22:06:15.8090000Z,,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,051cd219-bf22-478a-9ef4-9db871984e61,54.75055,-115.46837,10.19633,5.5073,0.4372,-17.26661,-1.3382,2.22451,2.53641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-01,18:06:36.08,1,4,"Greeley, JD",811675,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.51326,1.191222,-0.19337,1623.244003,55.186785,7:45,5.57851,1.26471,5.716,-48.08262,-3.71646,-7.28008,2.68147,0.4779,73.16113,-7.612313,-1.497498,0.479399,69.46145,69.795382,-84.46589,5576.769873,,,,,9.57122,,,3.6802,-1.88398,-1.24384,50,5.64793,0.66367,-115.5639,0.81906,4.97936,21.43374,-34.72313,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,05b3eab0-45aa-11f1-a7cb-9fa6daf3a988,78.62431,25.35554,,6.35213,,,,1.67762,2.79096,-0.5053,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:06:36.08,2026-05-01T18:06:36.0850000-04:00,2026-05-01T22:06:36.0850000Z,,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,add2326c-dc3f-4312-8b1b-8109bda6d769,54.7851,-116.44802,10.71687,5.58461,2.25135,-17.36156,-1.26698,0.45828,2.48968,159.183973,1.68059,3.23774,-8.86618,,,,,,,2.79379,95.46101,-27.48268,,,,,,,-0.50488,-35.04372,1.04623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2026-05-01,18:07:07.24,1,5,"Greeley, JD",811675,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.13025,-1.738128,-3.950357,2059.045027,205.436188,12:45,5.4793,1.21759,6.68134,-17.71647,16.07363,7.0878,2.4088,-1.81087,81.67987,-5.154032,-2.663807,0.418376,,,,,,,,,,,,-4.9989,9.38528,-0.95617,50,5.35574,8.75957,-130.67685,-4.42582,-8.54993,30.33313,-16.12188,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,182c4f70-45aa-11f1-a7cb-9fa6daf3a988,90.09236,,,8.45038,,,,,,,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:07:07.24,2026-05-01T18:07:07.2460000-04:00,2026-05-01T22:07:07.2460000Z,,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,de91a595-a10d-429d-b561-0fb563626a6b,53.81728,-131.55995,15.16657,5.47776,-3.95646,-8.06094,-1.21481,9.00848,-4.27497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-01,18:07:28.44,1,6,"Greeley, JD",811675,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.47049,1.679494,0.268528,1563.860567,26.774545,7:00,5.57456,1.35977,5.81284,-51.34227,-6.48303,-4.0517,2.85819,1.27183,72.15071,-7.763338,-0.458628,0.482056,67.76459,58.490328,-49.5193,5330.394211,51.73586,88.14593,-97.07405,167.1222,79.44059,-63.714037,4.842383,2.15732,-3.41449,-1.37931,50,5.68166,-0.386,-115.33562,1.69243,2.86668,24.15368,-36.71125,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,24e4d750-45aa-11f1-a7cb-9fa6daf3a988,78.19101,93.60195,,7.31978,,,,1.61244,2.88482,-1.27339,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:07:28.44,2026-05-01T18:07:28.4490000-04:00,2026-05-01T22:07:28.4490000Z,Popup,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,85cccd82-f0a2-4bff-9bd4-448a9e0776b1,54.68647,-116.31292,12.07684,5.58313,3.17783,-18.35562,-1.36135,-0.50199,1.43334,,1.61938,33.53152,-10.56616,1.33554,1.40034,-0.99402,0.2903,-0.04033,0.00218,2.87396,84.94977,-24.05659,3.45294,-1.29405,0.37894,-0.06013,0.00395,-4E-05,-1.26962,-39.58694,3.49985,-0.91053,0.44068,-0.18259,0.04398,-0.00545,0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2026-05-01,18:08:04.89,1,7,"Greeley, JD",811675,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,79.04799,0.165174,-0.501042,1644.122308,75.479928,8:30,5.52356,1.32829,5.68154,-46.33392,-1.32524,-10.4654,1.81638,-0.01088,72.78984,-8.309531,-2.375364,0.482858,,,,,,,,,,,,5.18111,-0.29516,-1.27944,50,5.50838,1.40477,-114.86414,-1.19616,6.91687,21.42268,-32.56809,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,3aae89f0-45aa-11f1-a7cb-9fa6daf3a988,78.06111,,,6.25815,,,,,,,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:08:04.89,2026-05-01T18:08:04.8990000-04:00,2026-05-01T22:08:04.8990000Z,,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,4dc68c13-fcd8-4bf9-aba3-f51b3e333b1d,54.8182,-115.75927,10.71134,5.52993,0.16467,-16.28405,-1.3321,1.11576,3.45844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.59537,,,0.891724,,,,-0.10476,5.74983,0.67538,77.36301,6.69483,47.42052,0.00244,96.80939,-11.23377,5.76528,11.9047,-12.17384,0.66737,53.34549,-1.02918,High,High,High,,,High,High,High
8,2026-05-01,18:08:42.38,2,1,"Greeley, JD",811675,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.31084,-1.529856,-3.132947,2073.343304,205.891459,12:45,5.51404,1.34618,6.73647,-18.35863,14.94209,6.72839,2.58385,-0.95865,82.39309,-5.052314,-1.908405,0.415335,,,,,,,,,,,,-4.43103,8.65398,-1.14199,50,5.40574,6.91605,-131.11298,-3.97853,-7.69174,28.44116,-17.15175,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,50f02bb0-45aa-11f1-a7cb-9fa6daf3a988,90.75193,,,7.91775,,,,,,,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:08:42.38,2026-05-01T18:08:42.3800000-04:00,2026-05-01T22:08:42.3800000Z,,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,cb3c8f09-7a31-476b-9663-0767ed6ab5f2,53.76034,-131.92616,14.22058,5.51248,-3.48814,-8.57588,-1.34287,7.13597,-3.84587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-05-01,18:09:00.67,2,2,"Greeley, JD",811675,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,1,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.73737,1.080584,-0.493291,1890.149305,86.807806,9:00,5.51836,1.30251,5.79664,-45.00621,0.6237,-16.37591,2.77309,-0.52099,71.66888,-7.219464,-3.42869,0.486179,66.04577,23.893911,164.223582,3279.899445,,,,135.96423,58.81007,165.858182,1.836526,8.06611,0.56504,-1.25287,50,5.58119,1.63385,-114.2663,0.69163,10.55339,23.10255,-31.43478,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,5bed47f0-45aa-11f1-a7cb-9fa6daf3a988,77.52792,18.49785,,7.0685,,,,1.74492,2.61029,0.45068,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:09:00.67,2026-05-01T18:09:00.6740000-04:00,2026-05-01T22:09:00.6740000Z,LineDrive,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,6ec2b682-88f1-473d-8043-742ec585bd13,54.69961,-115.21256,11.55127,5.52649,1.97917,-15.71739,-1.31094,1.20159,5.27669,345.950729,1.74494,-85.23093,6.29317,0.23745,0.22614,-0.35115,0.23956,-0.07511,0.00855,2.61027,39.23655,-26.41207,2.98462,-0.36967,-0.07876,0.07593,-0.01921,0.00169,0.45067,24.08041,-3.6101,0.2344,-0.17416,0.16491,-0.1042,0.03243,-0.00372,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-05-01,18:09:27.55,2,3,"Greeley, JD",811675,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,1,0,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.77605,1.40601,-2.195027,2121.95925,210.764827,1:00,5.59508,1.31342,6.41883,-15.76946,18.08903,10.0289,5.57468,0.13034,81.23112,-1.678102,-0.379265,0.418799,,,,,,,,,,,,-5.85969,9.25666,-1.16036,50,5.68779,4.61034,-131.5796,2.86031,-10.08218,32.75161,-16.24699,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260501-MichiganState-2,6bdd7b30-45aa-11f1-a7cb-9fa6daf3a988,90.00135,,,9.54494,,,,,,,8c99b6d9-0898-448b-8a27-0de12a0e844e,2026-05-01,22:09:27.55,2026-05-01T18:09:27.5520000-04:00,2026-05-01T22:09:27.5520000Z,,v3,1551,5048,2ba706b441534b67874ed04ff7c3e23d,"Broski, Adam",839305,Right,MIC_SPA,11241ad2-2571-4900-9c03-2d925cd930cd,54.07311,-132.58956,16.3758,5.59186,3.36132,-8.1235,-1.30733,4.92125,-5.04109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
