PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-02,15:34:25.43,1,1,"Donovan, Aidan",804092,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.77514,-1.915376,-2.425029,2012.036655,208.644942,1:00,6.38621,1.76917,6.57872,-21.73773,11.39564,5.64063,2.81709,0.01539,82.96106,-6.031799,-1.40005,0.41429,,,,,,,,,,,,-3.64063,6.86359,-1.60489,50,6.24553,5.35849,-131.81233,-5.04128,-6.38858,28.69316,-20.12977,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,edc8d1e0-465d-11f1-9988-0143ec5928a3,90.98086,,,7.81408,,,,,,,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:34:25.43,2026-05-02T15:34:25.4392832-04:00,2026-05-02T19:34:25.4392832Z,,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,6c131176-057f-4d74-a983-0302cb94163c,53.91825,-132.66252,14.34658,6.38607,-4.44483,-10.06489,-1.76647,5.54779,-3.19429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-02,15:34:42.62,1,2,"Donovan, Aidan",804092,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.61874,-1.564156,-1.742374,2144.150636,201.253709,12:45,6.47215,1.83007,6.5517,-18.36237,14.14517,5.09603,3.50666,0.65656,83.66529,-5.070195,-0.816508,0.410359,,,,,,,,,,,,-3.1528,8.17878,-1.71165,50,6.35603,3.84361,-133.11243,-4.14349,-5.64537,29.11365,-17.52921,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,f8031350-465d-11f1-9988-0143ec5928a3,91.85245,,,7.95345,,,,,,,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:34:42.62,2026-05-02T15:34:42.6258432-04:00,2026-05-02T19:34:42.6258432Z,,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,ad049214-9420-4a39-9c4a-966d3b68e327,53.94501,-133.97248,14.55682,6.47079,-3.62565,-8.7646,-1.82765,4.01038,-2.82268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-02,15:35:01.63,1,3,"Donovan, Aidan",804092,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,1,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Double,0,0,,76.41728,0.954503,-1.255878,2157.072474,44.368049,7:30,6.42286,1.66247,5.70614,-61.29393,-12.9939,-14.17347,2.20466,-0.68896,70.49057,-10.188727,-3.797257,0.500202,100.43071,2.332275,37.221967,3145.529511,,,,69.08852,67.53751,39.051457,0.488233,6.90079,-6.55764,-1.54808,50,6.46422,2.94691,-111.06065,-0.12775,8.56756,20.99988,-40.31555,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,035d1ca0-465e-11f1-9988-0143ec5928a3,75.35449,2.81166,,5.92671,,,,1.81319,2.43328,0.82031,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:35:01.63,2026-05-02T15:35:01.6353280-04:00,2026-05-02T19:35:01.6353280Z,GroundBall,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,2ca4272b-4001-4a8e-9632-1a66105900cc,54.79744,-111.96409,10.49994,6.43241,1.60669,-20.15778,-1.66694,2.57832,4.28378,,1.83222,116.67309,-21.65161,,,,,,,2.44957,5.5459,-21.69998,,,,,,,0.81491,89.17826,-3.4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-05-02,15:35:46.94,2,1,"Donovan, Aidan",804092,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,0,0,TwoSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.06763,-2.080463,-1.998828,2135.596403,221.283673,1:30,6.5838,1.38712,6.55551,-19.49147,13.32225,10.7965,3.04995,0.45338,83.48248,-5.782234,-0.036794,0.412287,86.93822,6.827313,88.538159,3532.502857,-6.09384,7.74353,109.83106,178.87186,79.2301,95.757848,1.612626,-6.20894,7.88339,-1.25338,50,6.4317,4.19327,-132.32227,-5.36012,-11.02052,27.9432,-18.18154,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,1e5ede80-465e-11f1-9988-0143ec5928a3,91.42288,8.2957,,7.58515,,,,-0.59148,2.84374,-0.4534,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:35:46.94,2026-05-02T15:35:46.9435904-04:00,2026-05-02T19:35:46.9435904Z,GroundBall,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,d20c6db4-0cb6-4d01-9e43-338191530b75,53.94284,-133.1523,13.9716,6.5829,-4.82005,-9.09077,-1.3828,4.52062,-5.51026,,-0.59148,3.22984,-11.08106,1.9826,-0.40067,0.07867,-0.0151,0.00235,-0.0002,2.84374,15.15795,-10.52383,-0.05185,0.06211,-0.01781,0.00522,-0.0008,6E-05,-0.4534,126.5638,-13.04998,2.56263,-0.47395,0.08604,-0.01595,0.00246,-0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2026-05-02,15:36:10.89,2,2,"Donovan, Aidan",804092,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.58074,-1.992371,-2.744235,2238.270547,188.125496,12:15,6.58719,1.59254,6.42307,-16.46426,16.86902,2.22906,3.38094,-0.74615,82.20572,-5.181479,-2.340856,0.415538,76.9888,36.984342,140.82471,4692.44011,,,,,62.95113,,,-2.07957,9.81733,-1.39771,50,6.43733,6.26585,-132.67304,-5.04304,-3.63194,33.7157,-15.02804,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,2ca1afe0-465e-11f1-9988-0143ec5928a3,90.70763,39.84538,,9.37503,,,,-0.62933,3.21022,0.85003,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:36:10.89,2026-05-02T15:36:10.8911104-04:00,2026-05-02T19:36:10.8911104Z,,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,32cd4074-dd90-40c3-aca7-9a95bf297645,54.07084,-133.70355,16.85785,6.58445,-4.58372,-7.51402,-1.59092,6.37686,-1.81597,,-0.62933,-69.92292,2.93175,0.66543,-0.48641,0.184,-0.05629,0.01409,-0.00207,3.21022,67.93033,-28.03844,3.29338,-0.53098,0.06359,-0.00496,-0.00022,0.0001,0.85003,56.97755,-17.78446,5.6925,-1.471,0.34708,-0.08091,0.01665,-0.00224,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2026-05-02,15:36:37.08,2,3,"Donovan, Aidan",804092,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,0,2,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.88478,-0.134593,-1.555401,2061.90091,225.823172,1:30,6.71228,1.48092,6.33405,-20.06281,13.59961,12.77013,4.91641,1.1126,81.95921,-3.971972,0.755357,0.417584,,,,,,,,,,,,-7.05512,7.45201,-1.37286,50,6.69292,3.03816,-131.91066,-0.88846,-12.26175,31.62289,-19.22248,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,3c3f0830-465e-11f1-9988-0143ec5928a3,90.26309,,,8.92557,,,,,,,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:36:37.08,2026-05-02T15:36:37.0814464-04:00,2026-05-02T19:36:37.0814464Z,,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,3142915f-face-4732-a626-215ee2bfc9c0,54.16054,-132.90433,15.81145,6.71135,-0.28445,-9.61124,-1.47438,3.42345,-6.13088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-02,15:36:59.98,2,4,"Donovan, Aidan",804092,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,1,2,ChangeUp,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.40595,-0.423519,-2.721938,1133.214974,274.207969,3:15,6.32295,1.76931,6.17836,-39.08258,0.6876,7.60626,2.67451,-0.11237,76.56856,-7.653179,-1.349199,0.45389,70.61355,51.439706,114.547577,4999.240994,,,,,34.91434,,,-4.71244,0.84866,-1.56734,50,6.27117,5.47232,-121.13713,-2.13927,-6.99211,23.98379,-30.91484,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,49e4fd50-465e-11f1-9988-0143ec5928a3,83.04321,40.37923,,6.83739,,,,0.18137,2.51885,0.09598,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:36:59.98,2026-05-02T15:36:59.9874048-04:00,2026-05-02T19:36:59.9874048Z,,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,4c86138d-9ece-4ccc-93f0-a81aa30c33b8,54.321,-121.98964,11.99189,6.32768,-1.0404,-15.45742,-1.76627,5.72086,-3.49606,321.868074,0.18137,-26.81989,-5.44494,2.42908,-1.33658,2.96533,-5.88851,6.16733,-2.5108,2.51885,80.98412,-27.5389,3.22289,-1.17737,2.10691,-4.13015,4.26919,-1.702,0.09598,58.72198,-9.65106,1.08916,-0.18356,0.01368,0.0049,-0.0404,0.03777,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-05-02,15:37:23.96,2,5,"Donovan, Aidan",804092,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,1,2,Cutter,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,78.38226,0.012986,-2.156486,1978.694903,89.187896,9:00,6.16066,1.82479,5.79501,-44.9142,1.49008,-11.6276,2.4299,-1.15101,71.0974,-8.262876,-4.239025,0.490287,98.9404,4.343804,-14.401556,1352.772133,,,,102.95832,101.00849,-16.129657,0.779251,5.23264,1.22197,-1.64031,50,6.13504,4.71651,-113.63673,-1.39117,6.71706,24.37746,-30.60542,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,58364da0-465e-11f1-9988-0143ec5928a3,76.87829,3.97977,,7.28487,,,,1.31737,2.38443,1.15762,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:37:23.96,2026-05-02T15:37:23.9619584-04:00,2026-05-02T19:37:23.9619584Z,GroundBall,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,080c4b38-0e94-4f5d-b61c-e77e86b91a4b,54.70252,-114.64108,12.18873,6.16638,-0.13023,-15.30271,-1.82893,4.43977,3.35853,79.358308,1.37871,139.07957,-17.96289,,,,,,,2.42147,10.34605,-17.32103,,,,,,,1.18355,-36.44524,-2.32181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-05-02,15:38:06.82,3,1,"Donovan, Aidan",804092,Right,MIC_SPA,"Levu, Mulivai",823050,Left,UCLA,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.8329,-2.027993,-1.490846,2133.035596,205.594592,12:45,6.34033,1.8972,6.5235,-17.20733,16.03741,7.14867,3.0444,1.12484,82.64734,-5.332303,-0.192433,0.414986,,,,,,,,,,,,-4.15587,9.32229,-1.79617,50,6.19149,3.14237,-131.89404,-5.12254,-7.27703,29.61334,-15.8504,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,71b89b70-465e-11f1-9988-0143ec5928a3,90.82831,,,8.18555,,,,,,,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:38:06.82,2026-05-02T15:38:06.8282368-04:00,2026-05-02T19:38:06.8282368Z,,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,1a06cbd6-80c7-4047-8960-56831ab29f2a,53.97236,-132.78293,14.80667,6.33811,-4.64677,-7.9252,-1.89378,3.3608,-3.63852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-02,15:38:28.09,3,2,"Donovan, Aidan",804092,Right,MIC_SPA,"Levu, Mulivai",823050,Left,UCLA,Undefined,1,Top,0,1,0,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,82.43227,0.847517,-0.494261,1163.719404,304.938699,4:15,6.28314,2.08387,5.88455,-43.24817,-1.56752,4.3613,3.46622,1.98833,74.57262,-7.148308,0.289419,0.464663,,,,,,,,,,,,-2.36866,-0.56402,-2.0464,50,6.32724,0.85469,-119.59034,0.31191,-3.3774,26.38289,-32.97824,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260502-MichiganState-1,7e7011e0-465e-11f1-9988-0143ec5928a3,81.11771,,,7.85965,,,,,,,75cc3cd8-ea28-4863-9824-87a3377c9d67,2026-05-02,19:38:28.09,2026-05-02T15:38:28.0990208-04:00,2026-05-02T19:38:28.0990208Z,,v3,1551,5048,20357,"Bright, Noah",839304,Right,MIC_SPA,e323f3a7-1dbf-4a45-9c7d-11676dcb5f87,54.61129,-120.60335,13.19144,6.29095,1.57816,-16.48912,-2.08171,0.98436,-1.6887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
