PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-03,12:02:38.93,1,1,"Monke, Carter",839301,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.66074,-2.215122,-0.870014,2122.303414,208.31846,1:00,5.66614,1.67869,6.49632,-17.11635,18.33253,9.14898,2.20521,1.64243,79.53636,-5.542291,0.791339,0.428522,,,,,,,,,,,,-5.03374,10.70686,-1.62116,50,5.50321,1.58052,-128.55438,-5.38238,-8.24261,31.99256,-14.64189,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,82899b10-4709-11f1-b2dc-2150ed854c42,87.95926,,,9.12438,,,,,,,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:02:38.93,2026-05-03T12:02:38.9363200-04:00,2026-05-03T16:02:38.9363200Z,,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,b93eaf6e-5795-4e6a-9d02-5ce9e4940a4f,53.99708,-129.54529,15.99628,5.6629,-4.92887,-7.32094,-1.67407,1.83582,-4.1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-03,12:02:57.47,1,2,"Monke, Carter",839301,Right,MIC_SPA,"West, Dean",800632,Left,UCLA,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,89.42563,-2.720767,-2.158924,2179.718524,202.208056,12:45,5.71539,1.7512,6.62633,-14.00383,20.7404,7.91894,2.05348,0.43334,80.13,-5.488567,-0.718999,0.424241,102.78267,18.344413,5.652449,2317.759609,109.6968,34.46696,8.15724,348.85372,341.11039,1.583152,3.826791,-4.91067,12.23359,-1.60784,50,5.52482,4.57709,-129.60089,-6.45307,-8.1616,32.84442,-11.84163,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,8d8ea690-4709-11f1-b2dc-2150ed854c42,88.84671,46.96065,,9.29564,,,,1.55307,2.10929,-0.42111,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:02:57.47,2026-05-03T12:02:57.4740992-04:00,2026-05-03T16:02:57.4740992Z,LineDrive,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,870ea62c-6661-4356-b9b3-502d105fc731,53.86923,-130.57778,16.42221,5.71151,-6.10087,-5.92082,-1.74759,4.81984,-4.0808,166.117281,1.55319,142.38292,-27.36949,6.44098,-1.12971,0.12293,-0.00097,-0.0018,0.00018,2.10915,47.45733,-11.67239,-0.72258,0.02536,0.1321,-0.05573,0.01006,-0.0007,-0.42108,14.09093,-6.06393,1.48353,-0.28278,0.03376,-0.00058,-0.00048,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-05-03,12:03:38.88,2,1,"Monke, Carter",839301,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.41937,-0.287281,-2.559027,2222.36337,41.087636,7:15,5.69548,1.48473,6.3042,-52.10652,-8.37012,-8.76749,1.08834,-1.60504,72.42482,-9.925228,-4.146551,0.475985,,,,,,,,,,,,3.57756,-3.65666,-1.29319,50,5.65094,5.53834,-116.55723,-2.22363,4.77109,28.14581,-37.05066,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,a655bab0-4709-11f1-b2dc-2150ed854c42,79.18837,,,7.99455,,,,,,,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:03:38.88,2026-05-03T12:03:38.8871680-04:00,2026-05-03T16:03:38.8871680Z,,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,70d8a4b7-0279-4fc9-aa3d-6bbf04490b3f,54.19223,-117.56519,14.0729,5.70681,-0.89676,-18.52533,-1.48847,5.36747,2.38554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-03,12:04:28.59,2,2,"Monke, Carter",839301,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,1,1,0,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.61157,-1.503955,-1.500265,1120.572702,221.550931,1:30,5.67148,1.57656,6.20831,-30.30293,8.13772,5.92276,1.75736,0.68513,77.011,-7.195875,-0.429842,0.446238,,,,,,,,,,,,-3.56225,5.16516,-1.46675,50,5.54379,3.01269,-124.10528,-4.19428,-5.43431,29.89957,-24.29444,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,c3e81280-4709-11f1-b2dc-2150ed854c42,84.46708,,,8.60057,,,,,,,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:04:28.59,2026-05-03T12:04:28.5900800-04:00,2026-05-03T16:04:28.5900800Z,,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,76c89327-7741-4fc8-99aa-ec9f0000c23f,54.28607,-125.13363,14.94978,5.67368,-3.35871,-12.14722,-1.57358,3.1996,-2.71716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-05-03,12:04:45.91,2,3,"Monke, Carter",839301,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,1,1,1,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.43374,-2.091515,-1.93857,2161.975899,225.6242,1:30,5.59174,1.58278,6.74545,-20.88143,14.84391,13.64635,1.93892,0.94826,78.48559,-6.143399,0.550832,0.430189,,,,,,,,,,,,-7.90004,9.04532,-1.45975,50,5.44621,3.80371,-128.12542,-5.20168,-12.67919,34.97702,-17.65673,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,ce35b4e0-4709-11f1-b2dc-2150ed854c42,87.61831,,,9.94815,,,,,,,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:04:45.91,2026-05-03T12:04:45.9145728-04:00,2026-05-03T16:04:45.9145728Z,,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,e1149fdc-9b35-40df-9a8c-34d6377f0c2d,53.74786,-129.1445,17.48851,5.59028,-4.68724,-8.82836,-1.57595,4.17312,-6.3396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-03,12:05:12.95,2,4,"Monke, Carter",839301,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.23009,1.682438,-1.019892,2075.545074,187.497684,12:15,5.7909,1.56893,6.73939,-17.64147,17.65426,2.15764,5.85868,0.81678,79.18249,-1.766378,-0.62662,0.427595,,,,,,,,,,,,-1.45433,9.08898,-1.50247,50,5.8941,2.19366,-128.04034,3.36561,-2.37367,30.58904,-17.3395,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,de5d4bd0-4709-11f1-b2dc-2150ed854c42,88.14988,,,9.0476,,,,,,,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:05:12.95,2026-05-03T12:05:12.9595392-04:00,2026-05-03T16:05:12.9595392Z,,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,57f2634a-71c7-4383-b5ba-789403e76fda,53.75301,-128.93382,15.29452,5.7884,3.87208,-8.66975,-1.56756,2.263,-1.18684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-03,12:05:34.28,2,5,"Monke, Carter",839301,Right,MIC_SPA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,1,2,2,ChangeUp,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,86.16341,-0.312424,-1.925493,1170.75081,263.383302,2:45,5.51328,1.72647,6.35638,-34.72297,2.49429,10.77753,2.33199,0.85177,78.46426,-6.792539,0.027258,0.43908,61.59367,-21.874468,-32.709067,,,,,6.74246,5.11314,-32.678637,0.065474,-6.21052,1.75677,-1.59178,50,5.47458,3.79556,-125.16741,-1.77515,-9.76568,27.34493,-29.41162,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,eb10caa0-4709-11f1-b2dc-2150ed854c42,85.84412,2.21273,,7.69915,,,,1.03775,2.21273,-0.6622,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:05:34.28,2026-05-03T12:05:34.2895616-04:00,2026-05-03T16:05:34.2895616Z,GroundBall,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,c651e634-bdc4-46c9-9f03-1b5f2e6051fa,54.14223,-126.0691,13.67246,5.51713,-0.80531,-14.70581,-1.72225,4.11759,-4.88284,180,1.0347,70.82909,,,,,,,,2.21419,-33.79558,,,,,,,,-0.66024,-45.48729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-05-03,12:06:13.18,3,1,"Monke, Carter",839301,Right,MIC_SPA,"Levu, Mulivai",823050,Left,UCLA,Undefined,1,Top,2,0,0,Curveball,Curveball,InPlay,Undefined,FlyBall,HomeRun,0,1,,77.85736,1.87933,-0.756468,2184.692942,25.332896,6:45,5.68637,1.50063,6.2257,-57.12094,-11.19064,-6.02725,2.66103,0.30036,70.98093,-8.667783,-1.846927,0.487777,102.33276,30.762672,10.93163,3529.966349,108.39723,64.71542,18.70926,409.97235,405.58626,9.442087,5.613335,2.89898,-5.99276,-1.44115,50,5.79867,1.70513,-113.11348,1.97046,3.70835,23.07063,-39.83989,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,02490160-470a-11f1-b2dc-2150ed854c42,77.27396,100.78907,,6.87643,,,,1.84337,2.78408,-0.30845,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:06:13.18,2026-05-03T12:06:13.1845120-04:00,2026-05-03T16:06:13.1845120Z,FlyBall,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,21921cea-a70a-4ac2-9ff1-845f4e6c1e0b,54.27559,-113.98219,11.53532,5.69623,3.47061,-19.91994,-1.50273,1.5655,1.85418,172.345584,1.84864,126.52609,-26.73334,6.5608,-1.0862,0.08822,0.00394,-0.00132,7E-05,2.77858,76.86328,-15.50457,-0.27725,0.31293,-0.0902,0.01918,-0.00242,0.00012,-0.3075,24.43666,-7.48765,2.29869,-0.49333,0.0707,-0.00545,0.00012,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-05-03,12:07:03.49,4,1,"Monke, Carter",839301,Right,MIC_SPA,"Martin, Roman",800610,Right,UCLA,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.95787,-0.790669,-2.908847,2087.480728,198.904592,12:45,5.65555,1.56308,6.78975,-17.65851,18.16899,5.73784,3.46131,-0.61626,78.38396,-4.257882,-1.863512,0.430804,,,,,,,,,,,,-4.02662,10.24784,-1.37578,50,5.59699,6.24977,-127.45518,-2.14429,-6.44704,32.70384,-15.76624,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,2034c3d0-470a-11f1-b2dc-2150ed854c42,87.49329,,,9.57391,,,,,,,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:07:03.49,2026-05-03T12:07:03.4906624-04:00,2026-05-03T16:07:03.4906624Z,,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,3992ca0d-d904-4c61-b728-505ce0a8904f,53.70184,-128.40153,16.35192,5.65244,-1.68807,-7.88312,-1.55932,6.43632,-3.22352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-03,12:07:22.86,4,2,"Monke, Carter",839301,Right,MIC_SPA,"Martin, Roman",800610,Right,UCLA,Undefined,1,Top,2,1,0,ChangeUp,Splitter,InPlay,Undefined,Popup,Out,1,0,,85.57943,-1.405221,-2.175359,1168.419592,219.275037,1:15,5.69249,1.6094,6.24521,-24.23104,14.13418,10.3776,2.376,0.46689,76.93075,-6.014277,-0.300802,0.4458,88.70272,63.503742,-31.523217,,94.3679,157.4379,-56.52162,162.89731,67.23559,-31.096522,6.3231,-6.13839,8.22126,-1.45257,50,5.57609,4.30969,-124.07398,-3.73306,-9.37152,29.59643,-19.62262,MIC_SPA,UCLA,MichiganState,D1,BIG10,20260503-MichiganState-1,2bbf7a10-470a-11f1-b2dc-2150ed854c42,84.55011,163.06008,,8.64867,,,,2.67934,2.21832,-0.36412,b2745974-ab99-4c0f-93f6-baef40b94b26,2026-05-03,16:07:22.86,2026-05-03T12:07:22.8613632-04:00,2026-05-03T16:07:22.8613632Z,Popup,v3,1551,5048,20358,"Bright, Noah",839304,Right,MIC_SPA,9adec6fc-59c8-47f4-baa0-2adf10dd045a,54.2511,-125.08392,14.79821,5.69205,-3.06346,-9.81131,-1.60509,4.62948,-4.68576,180.037584,2.68726,49.30964,-14.63741,3.29578,-0.18303,-0.10681,0.03169,-0.00368,0.00016,2.19667,116.76599,-27.80344,4.42633,-1.39445,0.35931,-0.05968,0.00533,-0.00019,-0.36897,-30.24461,8.99488,-2.0272,0.11353,0.06531,-0.01942,0.00226,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
