PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-05-06,18:03:43.21,1,1,"Chambers, Brady",839303,Right,MIC_SPA,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.95756,-2.923734,-3.50682,2063.267378,195.684496,12:30,6.18882,1.55366,7.33541,-20.35635,13.63024,3.48477,1.84426,-1.32754,80.53515,-6.858551,-2.865536,0.41959,,,,,,,,,,,,-2.99725,8.66945,-1.35988,50,6.02067,7.7811,-128.9759,-7.05277,-4.97298,30.57886,-17.78982,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,72a71d40-4997-11f1-863e-ebaba656678f,89.83159,,,8.42241,,,,,,,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:03:43.21,2026-05-06T18:03:43.2161280-04:00,2026-05-06T22:03:43.2161280Z,,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,1c83c924-8fed-4c8d-843a-0288f3a4e164,53.15974,-129.72287,15.28943,6.18764,-6.6182,-8.89491,-1.55143,7.90258,-2.48649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-05-06,18:04:00.66,1,2,"Chambers, Brady",839303,Right,MIC_SPA,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,1,0,FourSeamFastBall,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.02469,-1.306163,-1.143715,2045.470994,178.208104,12:00,6.23392,1.62729,7.29503,-20.8921,13.20103,-0.38,3.31173,0.56158,80.71241,-5.327678,-1.213773,0.420247,,,,,,,,,,,,-0.11354,7.82213,-1.56311,50,6.15446,2.57077,-128.12041,-3.40093,-0.18874,26.4665,-19.17219,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,7d147ca0-4997-11f1-863e-ebaba656678f,89.69111,,,7.31228,,,,,,,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:04:00.66,2026-05-06T18:04:00.6689280-04:00,2026-05-06T22:04:00.6689280Z,,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,a00d0edb-6d30-4b2a-bfaa-df43371bb705,53.20241,-128.78025,13.23325,6.23329,-2.92294,-9.58609,-1.62726,2.57547,-0.09437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-05-06,18:04:18.70,1,3,"Chambers, Brady",839303,Right,MIC_SPA,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,1,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.56085,-0.792839,-2.549336,2308.800287,76.096279,8:30,6.31897,1.69836,6.38285,-46.14829,-1.64236,-12.11048,1.74317,-1.65754,72.58136,-9.302983,-4.743117,0.480154,,,,,,,,,,,,5.56378,-0.15488,-1.50976,50,6.24128,5.5062,-114.14745,-2.93807,7.32153,21.52594,-32.37783,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,87dc7f20-4997-11f1-863e-ebaba656678f,78.50078,,,5.97949,,,,,,,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:04:18.70,2026-05-06T18:04:18.7010048-04:00,2026-05-06T22:04:18.7010048Z,,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,d0a469b7-5983-4dc1-ac22-321f7fd82af3,54.11654,-114.92113,10.76297,6.32596,-1.77436,-16.18892,-1.70293,5.24305,3.66076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-05-06,18:04:36.37,1,4,"Chambers, Brady",839303,Right,MIC_SPA,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,2,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,88.35257,-2.995587,-2.664038,2080.410185,185.488845,12:15,6.11671,1.66032,7.39766,-20.7558,13.17745,1.16126,1.67907,-0.64812,80.94009,-6.983393,-2.449776,0.419261,96.46238,-4.287183,10.116277,,,,,17.04973,15.66441,12.296768,0.117997,-1.40457,8.36028,-1.51591,50,5.94808,5.93528,-128.36508,-7.18949,-2.33432,27.5484,-18.27963,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,92548ce0-4997-11f1-863e-ebaba656678f,89.90217,1.56678,,7.41248,,,,0.56499,1.56678,0.6753,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:04:36.37,2026-05-06T18:04:36.3700224-04:00,2026-05-06T22:04:36.3700224Z,GroundBall,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,9bae3ac7-9cb8-4b43-a459-848af7a005cd,53.10121,-129.02891,13.7742,6.11602,-6.74901,-9.13981,-1.65961,5.99153,-1.16716,324.848291,0.5652,138.8655,-21.00788,,,,,,,1.56704,-10.60564,-22.68882,,,,,,,0.67522,24.78981,2.22056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-05-06,18:05:18.86,2,1,"Chambers, Brady",839303,Right,MIC_SPA,"Hums, Cooper",1000305025,Left,WMI_BRO,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.48533,-0.029786,-3.049517,2004.896999,237.915519,2:00,6.1674,1.92077,7.21392,-31.5299,9.74784,13.34926,3.5129,0.26956,73.27407,-6.055519,-0.595434,0.462412,,,,,,,,,,,,-8.05174,5.68819,-1.74793,50,6.15663,5.80131,-116.96501,-0.79736,-11.0677,23.66038,-24.3552,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,abd81330-4997-11f1-863e-ebaba656678f,81.5126,,,7.21126,,,,,,,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:05:18.86,2026-05-06T18:05:18.8636672-04:00,2026-05-06T22:05:18.8636672Z,,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,9482cd5e-f123-47a2-b93d-b4846c834dbe,53.28316,-117.62727,11.83019,6.16941,-0.11565,-12.1776,-1.91465,6.11109,-5.53385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-05-06,18:05:38.25,2,2,"Chambers, Brady",839303,Right,MIC_SPA,"Hums, Cooper",1000305025,Left,WMI_BRO,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.72427,-2.260345,-0.858585,2072.446014,185.592926,12:15,6.17502,1.66031,7.26851,-21.71383,11.89394,1.06287,2.31988,0.97228,81.4921,-6.417006,-0.662611,0.417245,,,,,,,,,,,,-0.80957,7.37453,-1.61199,50,6.04078,1.89816,-129.08875,-5.61551,-1.36652,26.7845,-19.72605,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,b73ec6b0-4997-11f1-863e-ebaba656678f,90.33643,,,7.23218,,,,,,,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:05:38.25,2026-05-06T18:05:38.2560768-04:00,2026-05-06T22:05:38.2560768Z,,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,4b20021d-e55e-4e39-a9fe-b39e547ccc0e,53.22929,-129.75706,13.39225,6.17475,-5.12332,-9.86303,-1.65978,1.93226,-0.68326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-05-06,18:05:57.82,2,3,"Chambers, Brady",839303,Right,MIC_SPA,"Hums, Cooper",1000305025,Left,WMI_BRO,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.19685,-2.447145,-1.900508,2020.1039,178.892283,12:00,6.25413,1.66302,7.28531,-18.14891,14.89548,-0.26941,2.52656,-0.07841,82.39904,-5.935077,-1.95015,0.413733,79.00126,48.245523,-24.191088,,92.26854,97.3914,-59.88742,217.8854,101.12232,-38.054257,5.180117,-0.34276,8.99394,-1.55609,50,6.11078,4.31574,-129.79275,-5.95843,-0.58892,25.31396,-16.71988,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,c2e4a610-4997-11f1-863e-ebaba656678f,91.10329,99.5968,,6.7978,,,,0.90475,2.56877,0.0817,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:05:57.82,2026-05-06T18:05:57.8201088-04:00,2026-05-06T22:05:57.8201088Z,FlyBall,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,f0c73374-8d19-4ba4-bdb9-8e2b9da70598,53.21421,-130.41812,12.65698,6.25288,-5.54537,-8.35994,-1.66289,4.3303,-0.29446,154.900254,0.91119,70.23019,-19.81595,4.56879,-0.14805,-0.3247,0.11094,-0.01526,0.00078,2.5591,86.62132,-23.05137,2.59189,-0.76796,0.20669,-0.0293,0.00151,1E-05,0.08396,-31.66831,0.55989,0.38541,-0.00964,-0.05796,0.02008,-0.00275,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2026-05-06,18:06:37.10,3,1,"Chambers, Brady",839303,Right,MIC_SPA,"Maloney, Mike",1000076885,Right,WMI_BRO,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,1,0,,79.04202,-0.565454,-2.00391,2444.259845,71.690017,8:30,6.36365,1.51597,6.48108,-47.70904,-3.7263,-15.48946,1.86836,-1.61553,72.69958,-9.386491,-4.817461,0.477323,,,,,,,,,,,,7.48178,-1.3098,-1.36907,50,6.30374,4.55762,-114.88239,-2.5293,9.91302,22.98914,-33.90949,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,da5970a0-4997-11f1-863e-ebaba656678f,78.9663,,,6.34245,,,,,,,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:06:37.10,2026-05-06T18:06:37.1040000-04:00,2026-05-06T22:06:37.1040000Z,,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,4e998ff0-d676-4a01-8f22-4dc4ccee9970,54.0188,-115.6838,11.49457,6.37131,-1.3472,-16.95475,-1.52192,4.21205,4.95651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.95294,1.965737,0.789248,1.176489,-1.18124,1.42636,1.8377,-0.39049,6.26786,1.99262,127.27865,0.96131,2.69031,-0.23152,122.58736,-12.204,6.23484,5.61086,-8.55602,1.96539,-1.21386,1.57705,High,High,High,,,High,High,High
9,2026-05-06,18:07:06.72,3,2,"Chambers, Brady",839303,Right,MIC_SPA,"Maloney, Mike",1000076885,Right,WMI_BRO,Undefined,1,Top,2,0,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.98761,-2.916658,-1.960851,2022.494372,191.665086,12:30,6.10412,1.55791,7.45524,-18.63796,14.58351,2.79693,1.91868,0.02321,81.72391,-6.515601,-1.443805,0.41484,,,,,,,,,,,,-2.05965,9.05997,-1.45388,50,5.94333,4.33727,-129.38591,-6.99196,-3.49281,26.89604,-16.80985,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,ebf446a0-4997-11f1-863e-ebaba656678f,90.86014,,,7.2637,,,,,,,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:07:06.72,2026-05-06T18:07:06.7225088-04:00,2026-05-06T22:07:06.7225088Z,,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,ac3a565a-d977-4a73-80a8-4e7570885465,53.04276,-130.01688,13.44802,6.10274,-6.59761,-8.40492,-1.5566,4.41922,-1.7464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-05-06,18:07:25.57,3,3,"Chambers, Brady",839303,Right,MIC_SPA,"Maloney, Mike",1000076885,Right,WMI_BRO,Undefined,1,Top,2,0,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.91732,-2.760142,-3.125613,2134.11221,186.739071,12:15,6.13086,1.52496,7.31732,-19.42159,13.48166,1.46697,2.01269,-1.17989,82.23785,-6.497392,-2.855621,0.412849,,,,,,,,,,,,-1.69421,8.41485,-1.35108,50,5.97112,7.07845,-130.55914,-6.74638,-2.91293,28.48656,-17.70612,MIC_SPA,WMI_BRO,MichiganState,D1,BIG10,20260506-MichiganState-1,f736f760-4997-11f1-863e-ebaba656678f,91.29845,,,7.67946,,,,,,,89ca9fe4-4f06-425a-9c35-92de577ccc21,2026-05-06,22:07:25.57,2026-05-06T18:07:25.5720000-04:00,2026-05-06T22:07:25.5720000Z,,v3,1551,471491,20360,"Broski, Adam",839305,Right,MIC_SPA,61be7145-f5d2-49e3-92e8-db5754c476c7,53.17984,-131.25112,14.24328,6.12977,-6.31628,-8.85306,-1.52388,7.14921,-1.45647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.46054,,,0.887085,,,,-1.71864,5.50619,5.16928,79.8113,4.46889,44.9701,-1.65318,101.80858,-11.27318,5.51693,9.69464,-12.26546,5.1508,44.09138,0.90577,High,High,High,,,High,High,High
