PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-17,19:02:16.99,1,1,"Kenney, Noah",1000337331,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.32046,-2.499848,-1.807843,2564.996401,193.270485,12:30,5.94284,1.18564,6.33648,-10.09875,23.6456,5.2639,2.79703,-0.04076,81.54516,-4.551082,-0.855966,0.418092,,,,,,,,,,,,-3.34142,13.48568,-1.05623,50,5.75547,3.94968,-132.2642,-5.92778,-5.77712,34.5157,-8.85797,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,a07d5850-3aca-11f1-bcd5-410175cfd08d,90.15342,,,9.7753,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:02:16.99,2026-04-17T19:02:16.9954304-07:00,2026-04-18T02:02:16.9954304Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,d705f187-c5af-4c4e-b665-b345db73bb36,54.1567,-133.34453,17.25785,5.93667,-5.65053,-4.42898,-1.18269,4.1305,-2.88856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-17,19:02:35.12,1,2,"Kenney, Noah",1000337331,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.58496,-2.898684,-3.571731,2585.3344,200.005213,12:45,5.89461,1.23491,6.25898,-9.73469,23.33017,8.01319,2.40312,-1.39497,82.55414,-4.878833,-2.128285,0.413861,,,,,,,,,,,,-5.35862,13.4143,-0.97331,50,5.67394,8.00098,-133.82974,-6.93346,-9.48052,35.4723,-8.44135,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,ab518fd0-3aca-11f1-bcd5-410175cfd08d,91.07507,,,10.03082,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:02:35.12,2026-04-17T19:02:35.1235072-07:00,2026-04-18T02:02:35.1235072Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,754fef8a-ee33-4035-9497-aa8e4b0d97cd,54.23397,-134.94731,17.73615,5.8882,-6.66752,-4.22068,-1.23009,8.29967,-4.74026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-17,19:02:35.12,1,3,"Kenney, Noah",1000337331,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,1,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,92.58496,-2.898684,-3.571731,2585.3344,200.005213,12:45,5.89461,1.23491,6.25898,-9.73469,23.33017,8.01319,2.40312,-1.39497,82.55414,-4.878833,-2.128285,0.413861,,,,,,,,,,,,-5.35862,13.4143,-0.97331,50,5.67394,8.00098,-133.82974,-6.93346,-9.48052,35.4723,-8.44135,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,aeb0c060-3aca-11f1-bc9d-374421e17e0d,91.07507,,,10.03082,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:02:35.12,2026-04-17T19:02:35.1230000-07:00,2026-04-18T02:02:35.1230000Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,754fef8a-ee33-4035-9497-aa8e4b0d97cd,54.23397,-134.94731,17.73615,5.8882,-6.66752,-4.22068,-1.23009,8.29967,-4.74026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-17,19:02:51.58,1,4,"Kenney, Noah",1000337331,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,1,1,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.4035,-1.271853,-3.373715,1129.16917,270.377316,3:00,5.92714,1.23716,6.53712,-38.68514,1.43748,14.13757,1.53461,-0.68271,75.0889,-8.516436,-0.804805,0.455896,,,,,,,,,,,,-8.53847,1.68154,-1.00841,50,5.82312,6.5947,-120.85534,-3.84474,-12.3287,28.76464,-29.74606,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,b5206540-3aca-11f1-bcd5-410175cfd08d,82.67769,,,8.3146,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:02:51.58,2026-04-17T19:02:51.5870000-07:00,2026-04-18T02:02:51.5870000Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,c85932c7-7174-47ab-8686-dd6d2f3baa77,53.95891,-121.79395,14.38232,5.93274,-2.87411,-14.87303,-1.23016,6.997,-6.16435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-17,19:02:51.58,1,5,"Kenney, Noah",1000337331,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,1,Undefined,Splitter,Undefined,Undefined,Undefined,Undefined,0,0,,83.4035,-1.271853,-3.373715,1129.16917,270.377316,3:00,5.92714,1.23716,6.53712,-38.68514,1.43748,14.13757,1.53461,-0.68271,75.0889,-8.516436,-0.804805,0.455896,,,,,,,,,,,,-8.53847,1.68154,-1.00841,50,5.82312,6.5947,-120.85534,-3.84474,-12.3287,28.76464,-29.74606,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,b87f95d0-3aca-11f1-bc9d-374421e17e0d,82.67769,,,8.3146,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:02:51.58,2026-04-17T19:02:51.5870000-07:00,2026-04-18T02:02:51.5870000Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,c85932c7-7174-47ab-8686-dd6d2f3baa77,53.95891,-121.79395,14.38232,5.93274,-2.87411,-14.87303,-1.23016,6.997,-6.16435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-17,19:03:08.33,1,6,"Kenney, Noah",1000337331,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.25308,-3.372597,-2.029579,2640.430655,197.072235,12:30,6.01345,1.02447,6.25388,-9.01512,23.47993,6.81733,2.14658,-0.27979,83.33433,-5.212936,-0.798986,0.41028,,,,,,,,,,,,-4.19213,13.6254,-0.87675,50,5.75778,4.47892,-134.9282,-8.07628,-7.55139,35.61909,-7.63018,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,bf1930e0-3aca-11f1-bcd5-410175cfd08d,91.87009,,,9.91875,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:03:08.33,2026-04-17T19:03:08.3390000-07:00,2026-04-18T02:03:08.3390000Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,e64e3520-8ca2-4c5c-965b-8dc2f307111c,54.23909,-136.04265,17.80954,6.00674,-7.83754,-3.81509,-1.02058,4.71519,-3.7757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.22005,,,1.110474,,,,0.05884,6.1244,0.58439,68.41139,4.81475,-56.36953,0.09799,66.18576,-4.2172,6.17103,14.68069,-14.33664,0.52071,-57.45174,5.6237,High,High,High,,,High,High,High
7,2026-04-17,19:03:08.33,2,1,"Kenney, Noah",1000337331,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,1,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,93.25308,-3.372597,-2.029579,2640.430655,197.072235,12:30,6.01345,1.02447,6.25388,-9.01512,23.47993,6.81733,2.14658,-0.27979,83.33433,-5.212936,-0.798986,0.41028,,,,,,,,,,,,-4.19213,13.6254,-0.87675,50,5.75778,4.47892,-134.9282,-8.07628,-7.55139,35.61909,-7.63018,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,c2786170-3aca-11f1-bc9d-374421e17e0d,91.87009,,,9.91875,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:03:08.33,2026-04-17T19:03:08.3390000-07:00,2026-04-18T02:03:08.3390000Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,e64e3520-8ca2-4c5c-965b-8dc2f307111c,54.23909,-136.04265,17.80954,6.00674,-7.83754,-3.81509,-1.02058,4.71519,-3.7757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.22005,,,1.110474,,,,0.05884,6.1244,0.58439,68.41139,4.81475,-56.36953,0.09799,66.18576,-4.2172,6.17103,14.68069,-14.33664,0.52071,-57.45174,5.6237,High,High,High,,,High,High,High
8,2026-04-17,19:03:42.25,2,2,"Kenney, Noah",1000337331,Right,WAS_HUS,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,0,0,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,82.26787,-1.678259,-3.555943,1058.179459,230.125841,1:45,5.91732,1.22803,6.61412,-32.77821,8.27748,8.05741,1.64534,-1.36148,74.1699,-7.8633,-2.091965,0.461167,,,,,,,,,,,,-5.40977,5.39764,-0.98894,50,5.79003,7.11025,-119.16474,-4.40295,-7.61759,27.32485,-24.57356,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,d356c540-3aca-11f1-bcd5-410175cfd08d,81.73275,,,8.09797,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:03:42.25,2026-04-17T19:03:42.2510000-07:00,2026-04-18T02:03:42.2510000Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,5b014a22-095e-4e3f-bd26-e1a83ae7c882,53.88042,-120.05124,13.66242,5.91994,-3.60572,-12.28678,-1.22363,7.35738,-3.80879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-17,19:03:42.25,2,3,"Kenney, Noah",1000337331,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,1,Undefined,Splitter,Undefined,Undefined,Undefined,Undefined,0,0,,82.26787,-1.678259,-3.555943,1058.179459,230.125841,1:45,5.91732,1.22803,6.61412,-32.77821,8.27748,8.05741,1.64534,-1.36148,74.1699,-7.8633,-2.091965,0.461167,,,,,,,,,,,,-5.40977,5.39764,-0.98894,50,5.79003,7.11025,-119.16474,-4.40295,-7.61759,27.32485,-24.57356,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,d6b5f5d0-3aca-11f1-bc9d-374421e17e0d,81.73275,,,8.09797,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:03:42.25,2026-04-17T19:03:42.2510000-07:00,2026-04-18T02:03:42.2510000Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,5b014a22-095e-4e3f-bd26-e1a83ae7c882,53.88042,-120.05124,13.66242,5.91994,-3.60572,-12.28678,-1.22363,7.35738,-3.80879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-17,19:04:03.15,2,4,"Kenney, Noah",1000337331,Right,WAS_HUS,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.21664,-3.314787,-1.803721,2485.28263,215.095151,1:15,5.83358,1.33637,6.32867,-13.13902,20.413,13.48123,1.68131,0.7983,82.32632,-5.886034,0.635192,0.416899,,,,,,,,,,,,-7.53741,12.00347,-1.21059,50,5.58494,3.59525,-132.1692,-7.9541,-13.14277,31.91707,-11.24392,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260417-UofWashington-1,dfc60f20-3aca-11f1-bcd5-410175cfd08d,90.41147,,,8.89032,,,,,,,cb5ed560-c3df-4b80-90f9-5d057aad5d16,2026-04-18,02:04:03.15,2026-04-17T19:04:03.1510000-07:00,2026-04-18T02:04:03.1510000Z,,v3,471486,1551,568b3661728f4384839f60beaf4dda88,"Swidler, Ethan",835029,Right,WAS_HUS,6b130568-7043-4623-b607-43fa10dfd1d1,54.16694,-133.17166,15.95853,5.82922,-7.60095,-5.62196,-1.32999,4.00804,-6.57138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
