PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-18,19:03:10.81,1,1,"Thomas, Jackson",823673,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.37321,-2.27154,-0.793175,2348.917033,128.269725,10:15,6.12135,0.2832,6.01319,-35.71404,5.64323,-5.37229,1.03962,-0.8993,75.27592,-8.871156,-1.761665,0.462858,,,,,,,,,,,,2.51914,4.02933,-0.21813,50,5.92383,1.86146,-119.51069,-5.867,3.60823,25.10555,-26.4027,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,eb01c8b0-3b93-11f1-8a34-d7813c56e420,81.43421,,,7.09729,,,,,,,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:03:10.81,2026-04-18T19:03:10.8139008-07:00,2026-04-19T02:03:10.8139008Z,,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,8b9dc6e7-b6c0-4d9c-85b2-296baddc12dc,54.48377,-120.44891,12.55277,6.12465,-4.8803,-13.20135,-0.28517,1.72661,1.80411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-18,19:03:25.66,1,2,"Thomas, Jackson",823673,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.86071,1.426715,1.775847,2454.403239,78.213202,8:30,6.05379,0.3022,5.9134,-52.54282,-1.81894,-17.64879,3.00026,0.48016,67.60967,-8.291954,-1.39629,0.512599,,,,,,,,,,,,9.54036,-0.77673,-0.435,50,6.13915,-2.71395,-108.53698,1.10562,11.15482,22.50942,-33.08223,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,f3e5f000-3b93-11f1-8a34-d7813c56e420,73.53206,,,7.25104,,,,,,,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:03:25.66,2026-04-18T19:03:25.6650752-07:00,2026-04-19T02:03:25.6650752Z,,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,2c16883a-1de4-4690-b6a3-864eae445a0d,54.58365,-109.48345,11.25471,6.06342,2.49665,-16.54112,-0.31102,-3.18299,5.57741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-18,19:03:42.79,1,3,"Thomas, Jackson",823673,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.38173,-0.828549,-1.291082,2397.511489,165.91172,11:30,6.06498,0.19002,5.97453,-26.32793,14.24438,-3.21185,3.10264,-1.27471,75.39638,-5.791337,-1.868365,0.458444,,,,,,,,,,,,1.22744,7.99886,-0.08617,50,5.985,2.85443,-120.92976,-2.52707,1.79272,26.60166,-20.49159,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,fe13d560-3b93-11f1-8a34-d7813c56e420,82.21818,,,7.98535,,,,,,,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:03:42.79,2026-04-18T19:03:42.7930000-07:00,2026-04-19T02:03:42.7930000Z,,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,7f1fb37d-6aad-40bc-82d4-b91b0313ce1d,54.5198,-121.91995,13.30083,6.06487,-1.76431,-10.2458,-0.19118,2.78769,0.89636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.37246,2.857855,1.746893,1.110962,-1.10495,2.84071,1.35757,0.28726,5.63584,2.66894,66.63976,7.81682,-58.14097,0.33416,64.06825,-3.94063,5.70343,18.27587,-14.72694,2.58291,-61.01983,5.71359,High,High,High,,,High,High,High
4,2026-04-18,19:04:16.96,2,1,"Thomas, Jackson",823673,Right,WAS_HUS,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.82315,-2.221876,0.065357,2130.242937,205.484547,12:45,6.185,0.04991,6.55306,-16.65269,17.4391,7.63697,2.75895,0.74626,80.57765,-5.481819,1.453719,0.420239,,,,,,,,,,,,-3.92103,10.33438,-0.057,50,6.02425,-0.47233,-131.55478,-5.49733,-6.64312,36.54344,-14.66522,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,12695e90-3b94-11f1-8a34-d7813c56e420,89.69287,,,10.2455,,,,,,,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:04:16.96,2026-04-18T19:04:16.9636352-07:00,2026-04-19T02:04:16.9636352Z,,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,6679cf61-0573-48a9-b0d7-8c6baec6be7c,53.93776,-132.6441,18.27172,6.1816,-5.06017,-7.33261,-0.04588,-0.2743,-3.32156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-18,19:04:33.56,2,2,"Thomas, Jackson",823673,Right,WAS_HUS,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,0,1,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.94239,-0.130939,1.065567,2504.73789,86.61893,9:00,6.03514,0.42094,5.85877,-48.34857,0.71728,-16.89934,1.88442,0.00275,69.16584,-9.039084,-1.972631,0.504151,79.48041,-24.667078,65.14883,,,,,5.94943,3.57049,41.78215,0.042275,9.03764,0.86319,-0.49725,50,5.99632,-1.44564,-110.24137,-1.71827,10.95738,22.30519,-31.12751,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,1c590270-3b94-11f1-8a34-d7813c56e420,74.76413,2.06138,,6.77655,,,,2.55002,2.06138,-0.10883,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:04:33.56,2026-04-18T19:04:33.5655424-07:00,2026-04-19T02:04:33.5655424Z,GroundBall,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,5dc78c49-2b80-49a3-b9e6-5b8ad27810df,54.64058,-111.17633,11.15259,6.04099,-0.4135,-15.56376,-0.42703,-1.90493,5.47869,,2.54933,44.6216,,,,,,,,2.06214,-48.76139,,,,,,,,-0.11031,96.34393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2026-04-18,19:04:57.23,2,3,"Thomas, Jackson",823673,Right,WAS_HUS,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,0,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,85.30194,-2.238654,-1.081704,2061.876584,214.123683,1:15,5.95825,0.54628,6.16356,-26.24064,12.19505,7.34748,1.70219,0.15925,77.44166,-7.169831,0.245144,0.446209,100.58779,2.957858,8.985326,940.240055,,,,84.7407,83.51448,9.447818,0.616478,-4.14937,7.40945,-0.46798,50,5.77513,2.05062,-123.75222,-5.61972,-6.3556,27.52933,-20.82496,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,2a6d97e0-3b94-11f1-8a34-d7813c56e420,84.47253,2.52128,,7.86028,,,,1.27529,1.69264,-0.161,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:04:57.23,2026-04-18T19:04:57.2361728-07:00,2026-04-19T02:04:57.2361728Z,GroundBall,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,7c08913a-2129-4bd2-af7f-66fb8417b0a3,54.33334,-124.71247,13.76467,5.95849,-4.89333,-10.41248,-0.54338,2.27231,-3.1778,281.390716,1.31049,144.75234,-18.38905,,,,,,,1.70927,7.24898,-16.29727,,,,,,,-0.16323,23.06038,-0.37066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-18,19:05:37.65,3,1,"Thomas, Jackson",823673,Right,WAS_HUS,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.85844,-1.455452,-0.377784,2316.504696,158.542619,11:15,6.10125,-0.07317,6.05362,-25.09738,14.57162,-5.20827,2.66224,-0.8569,76.46595,-6.176035,-1.315935,0.453312,,,,,,,,,,,,2.56236,8.33115,0.10523,50,5.9747,1.00769,-121.75136,-3.82868,3.82459,25.15756,-19.73903,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,4289c600-3b94-11f1-8a34-d7813c56e420,83.14906,,,7.39249,,,,,,,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:05:37.65,2026-04-18T19:05:37.6587776-07:00,2026-04-19T02:05:37.6587776Z,,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,42d37168-4140-425b-9748-0e5e1bb9b670,54.44248,-122.66588,12.57878,6.10083,-3.11114,-9.86951,0.07113,0.86866,1.91229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-18,19:05:54.88,3,2,"Thomas, Jackson",823673,Right,WAS_HUS,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,1,0,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.98596,-2.197644,-0.18858,2335.489309,117.26079,10:00,6.02383,-0.05124,6.03384,-34.60325,4.97945,-7.1517,1.10421,-0.82184,76.99094,-8.588426,-1.47849,0.452818,,,,,,,,,,,,3.6363,3.59847,0.0698,50,5.83356,0.67802,-121.93418,-5.78876,5.44314,25.26235,-26.78757,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,4cce8ec0-3b94-11f1-8a34-d7813c56e420,83.23963,,,6.99502,,,,,,,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:05:54.88,2026-04-18T19:05:54.8873216-07:00,2026-04-19T02:05:54.8873216Z,,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,236090f1-a721-45b4-ac2b-c10467086797,54.46436,-122.85563,12.63117,6.02688,-4.81169,-13.39379,0.04869,0.47948,2.72157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-18,19:06:14.60,3,3,"Thomas, Jackson",823673,Right,WAS_HUS,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.74462,-3.379711,1.14054,2504.262636,82.431372,8:45,5.97978,-0.09975,6.09951,-47.08294,-0.73236,-17.18607,-1.07377,-0.47696,71.6556,-11.975661,-1.972405,0.490003,,,,,,,,,,,,9.4213,0.96587,0.02157,50,5.69426,-1.66753,-112.78999,-8.05136,11.99663,22.72093,-30.94414,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,588ab540-3b94-11f1-8a34-d7813c56e420,76.92285,,,6.08903,,,,,,,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:06:14.60,2026-04-18T19:06:14.6022400-07:00,2026-04-19T02:06:14.6022400Z,,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,3f9383a0-1ce5-4626-aefa-cb9d5924e901,54.4024,-113.67337,11.36046,5.9839,-6.84827,-15.47207,0.09547,-2.13395,5.99831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-18,19:06:43.48,3,4,"Thomas, Jackson",823673,Right,WAS_HUS,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,1,1,2,Slider,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,2,,78.90227,0.153744,1.108511,2491.644382,81.209633,8:45,5.98159,-0.28181,6.19426,-45.93451,-1.4035,-18.41973,2.29568,-0.79329,72.28385,-8.343537,-2.223231,0.480289,97.45774,27.786723,-18.922147,2336.701773,103.45162,54.16962,-37.38652,380.00226,372.70392,-24.450897,5.004592,9.9802,-0.43185,0.20787,50,5.9698,-1.57824,-114.71149,-1.06559,13.19733,22.72255,-32.74513,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260418-UofWashington-1,69c47f80-3b94-11f1-8a34-d7813c56e420,78.47865,79.6193,,6.61842,,,,3.56779,2.6676,0.6816,0ddf977c-722c-46c6-a510-19138f88c17d,2026-04-19,02:06:43.48,2026-04-18T19:06:43.4882048-07:00,2026-04-19T02:06:43.4882048Z,FlyBall,v3,471486,1551,d6ab3dddd91345118152f98fa934906b,"Swidler, Ethan",835029,Right,WAS_HUS,901f4b32-7ece-4cd8-a370-03f3b04faa50,54.30716,-115.56152,11.36127,5.98675,0.15938,-16.37257,0.27615,-2.07194,6.59866,159.871739,3.5694,119.58663,-23.78372,5.40817,-0.96443,0.14226,-0.01949,0.00223,-0.00012,2.66821,66.61975,-15.2254,0.20271,0.21589,-0.13207,0.03941,-0.00556,0.0003,0.68187,-41.01463,3.06766,-0.37568,0.06379,-0.02008,0.00521,-0.00072,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
