PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-19,13:02:36.20,1,1,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.10048,-1.544763,-3.575122,2317.50252,211.259063,1:00,5.67301,2.02886,6.54764,-17.06151,16.98036,9.57327,2.83152,-0.45612,81.38894,-4.844842,-1.84028,0.419931,,,,,,,,,,,,-6.09374,9.71922,-1.78498,50,5.55842,7.77108,-130.58852,-3.95408,-10.39574,30.60149,-15.59344,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,b62a6240-3c2a-11f1-9c26-35d30dca0a2c,89.7586,,,8.71154,,,,,,,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:02:36.20,2026-04-19T13:02:36.2062848-07:00,2026-04-19T20:02:36.2062848Z,,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,3217849a-be8b-4abc-b624-72cd5ab6f4f0,53.94745,-131.51029,15.30074,5.67045,-3.48438,-7.79672,-2.02377,8.08422,-5.19787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-19,13:02:46.78,1,2,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.02041,1.27049,-2.599367,2332.989807,18.519424,6:30,5.68502,1.99656,5.55681,-59.74708,-12.87123,-4.82437,1.89456,-0.83578,71.47613,-9.582566,-3.460397,0.492772,,,,,,,,,,,,1.63874,-6.39079,-1.76865,50,5.75565,5.32574,-113.17704,0.46587,2.10568,22.45532,-40.38588,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,bc86a630-3c2a-11f1-9c26-35d30dca0a2c,76.49063,,,6.54428,,,,,,,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:02:46.78,2026-04-19T13:02:46.7821568-07:00,2026-04-19T20:02:46.7821568Z,,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,f72a5606-ac4d-41e8-ab39-d91b239ddd87,54.94436,-114.15383,11.22766,5.69717,2.22262,-20.19294,-1.99832,5.23415,1.05284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-19,13:02:59.31,1,3,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.28397,-2.926915,-4.283262,1230.502928,254.886953,2:30,5.54634,2.02751,6.2344,-34.69577,2.85496,5.88398,-0.05496,-1.44082,78.91808,-9.331282,-3.222401,0.441043,,,,,,,,,,,,-4.37614,2.72118,-1.71047,50,5.31017,9.1286,-124.88033,-7.51072,-6.84969,27.21926,-27.91475,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,c3f21030-3c2a-11f1-9c26-35d30dca0a2c,85.46212,,,7.36589,,,,,,,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:02:59.31,2026-04-19T13:02:59.3132544-07:00,2026-04-19T20:02:59.3132544Z,,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,7c5774f1-d68a-471c-b6c6-7b128fa8ec95,54.26452,-125.8064,13.60963,5.54955,-6.56098,-13.95738,-2.02501,9.36164,-3.42484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-19,13:03:16.38,1,4,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.20396,-2.137839,-4.063811,2382.406245,197.941546,12:30,5.65725,1.84764,6.39859,-13.48217,19.21694,5.8502,2.56185,-1.40833,83.40859,-4.767722,-3.008251,0.411566,65.40056,41.392668,132.554381,5244.840305,,,,,49.41594,,,-4.31638,11.03134,-1.55836,50,5.49716,9.24786,-133.53261,-5.32017,-7.70836,31.68625,-12.4738,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,ce193ed0-3c2a-11f1-9c26-35d30dca0a2c,91.58299,35.61462,,8.79537,,,,1.02059,2.523,1.41793,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:03:16.38,2026-04-19T13:03:16.3887104-07:00,2026-04-19T20:03:16.3887104Z,,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,8de598a0-9135-460e-a028-8ead596e8011,54.09845,-134.50162,15.84312,5.65403,-4.93871,-6.2369,-1.84478,9.4836,-3.85418,,1.02059,-48.66531,-1.72143,2.06546,-0.6545,0.18266,-0.04002,0.00949,-0.00119,2.523,63.42426,-26.94962,3.32755,-0.67303,0.11413,-0.01839,0.00298,-3E-05,1.41793,53.00777,-10.69676,1.79974,-0.34549,0.04005,-0.00631,0.00044,0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-04-19,13:03:34.02,1,5,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Bright, Noah",839304,Right,MIC_SPA,Undefined,1,Top,0,1,2,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,79.35787,1.806377,-1.9682,2390.857073,17.329031,6:30,5.59665,1.91629,5.7098,-53.64696,-8.89977,-3.21012,2.81054,-0.18562,72.84307,-7.992546,-2.5425,0.481453,87.68041,31.396503,-11.827713,2797.822996,108.06298,60.71947,-20.55171,346.27527,343.07417,-9.160916,4.890229,1.08,-4.69733,-1.74939,50,5.71428,4.08117,-115.22608,1.84434,1.44811,21.94805,-38.47232,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,d8a60d10-3c2a-11f1-9c26-35d30dca0a2c,78.28886,78.76615,,6.51481,,,,1.74316,2.91469,0.16627,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:03:34.02,2026-04-19T13:03:34.0208128-07:00,2026-04-19T20:03:34.0208128Z,FlyBall,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,a58bb522-b30c-4644-a2e6-94f7f5c671f7,54.79178,-116.13522,10.97403,5.60487,3.43796,-19.23616,-1.9172,4.02118,0.72406,186.554228,1.74548,107.38841,-18.73367,4.42644,-0.69569,0.04922,0.00318,-0.00068,2E-05,2.91371,67.00937,-15.37887,-0.02516,0.28718,-0.13272,0.03676,-0.00524,0.00029,0.16555,-22.48421,5.34558,-1.24528,0.20175,-0.01696,7E-05,4E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-19,13:04:10.17,2,1,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,0,0,ChangeUp,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.05307,0.385807,-2.519943,914.287521,253.445848,2:30,5.59065,2.14404,6.15199,-35.25419,3.08268,6.25658,3.00962,0.33566,77.73338,-6.165307,-1.39226,0.445636,,,,,,,,,,,,-3.97292,1.83067,-1.95562,50,5.60187,5.19534,-123.51707,-0.29689,-6.11782,25.34536,-29.35504,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,ee328fa0-3c2a-11f1-9c26-35d30dca0a2c,84.58132,,,7.3197,,,,,,,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:04:10.17,2026-04-19T13:04:10.1798400-07:00,2026-04-19T20:04:10.1798400Z,,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,18d9c862-7c95-42a2-8095-741c615b4cc6,54.34706,-124.40588,12.67268,5.59423,0.73253,-14.67752,-2.14157,5.40988,-3.05891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-19,13:04:32.01,2,2,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Sturgess, Isaac",827880,Left,MIC_SPA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,91.32242,-2.29448,-3.256566,2349.061563,197.699388,12:30,5.66729,1.98384,6.48624,-14.32328,18.69773,5.61174,2.36258,-0.54159,83.03099,-5.072902,-2.240622,0.413587,80.74872,11.433727,-12.349443,2817.873882,105.46947,10.18795,-31.24383,161.35434,153.99854,-18.6184,1.691312,-3.90595,10.80619,-1.75742,50,5.49939,7.31198,-132.43514,-5.66327,-6.89366,29.9353,-13.10207,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,fb319660-3c2a-11f1-9c26-35d30dca0a2c,91.13554,11.44186,,8.29143,,,,0.45871,2.29493,0.57439,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:04:32.01,2026-04-19T13:04:32.0171520-07:00,2026-04-19T20:04:32.0171520Z,LineDrive,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,6879b243-71a4-46bc-a66f-387a1450e939,54.01128,-133.33875,14.96765,5.66437,-5.26778,-6.55104,-1.98128,7.52007,-3.44683,114.209314,0.45871,113.39618,-18.94029,4.06476,-0.66667,-0.01494,0.07151,-0.02789,0.00401,2.29494,23.47515,-15.33782,0.37915,-0.11285,0.2013,-0.14127,0.04906,-0.00682,0.57438,-24.82465,-5.90769,2.05682,-0.40802,-0.09093,0.11978,-0.04536,0.00649,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-19,13:05:10.29,3,1,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,2,0,0,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.78423,2.142638,-1.427808,2224.942023,28.799754,7:00,5.70752,1.8431,5.78839,-62.57385,-14.39064,-8.81626,2.48783,-0.22012,69.92172,-9.300695,-3.009167,0.499596,82.3962,-37.849586,-65.354848,,,,,4.95414,4.95414,-36.701992,0.035899,4.06177,-7.64504,-1.72004,50,5.84616,3.09973,-111.42619,2.15056,5.02777,22.90414,-41.63729,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,120a9620-3c2b-11f1-9c26-35d30dca0a2c,75.44578,2.66938,,6.86251,,,,2.53954,2.66938,0.16142,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:05:10.29,2026-04-19T13:05:10.2999552-07:00,2026-04-19T20:05:10.2999552Z,GroundBall,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,14859c8c-2cee-4034-9d84-7ae3fe13a8f8,54.71373,-112.39094,11.45207,5.71864,3.90437,-20.81865,-1.84614,2.88795,2.51388,,2.53889,39.90313,,,,,,,,2.67058,-74.35875,,,,,,,,0.16282,-86.97485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2026-04-19,13:05:30.41,3,2,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,2,0,1,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.69855,0.39857,-3.511338,1129.131177,246.109893,2:15,5.61088,1.95638,6.1515,-33.33781,6.24851,10.61886,3.20168,-0.40705,75.66313,-5.8662,-1.600225,0.452839,,,,,,,,,,,,-6.65162,3.56776,-1.69413,50,5.62471,7.08647,-122.57145,-0.19373,-9.8666,29.86311,-26.88188,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,1e0943e0-3c2b-11f1-9c26-35d30dca0a2c,83.2358,,,9.03542,,,,,,,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:05:30.41,2026-04-19T13:05:30.4171520-07:00,2026-04-19T20:05:30.4171520Z,,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,1f1ae092-6469-406e-b17c-bd8cf56b3fa8,54.3417,-123.62473,14.93156,5.61483,0.7544,-13.44094,-1.95021,7.43447,-4.9333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-19,13:05:45.93,3,3,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,2,0,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.0048,1.734984,-0.279232,2407.265621,33.288817,7:00,5.65084,1.95003,5.57672,-57.57448,-11.59186,-8.68154,2.47392,0.96577,71.60653,-8.78086,-1.831349,0.488055,,,,,,,,,,,,4.38618,-6.24705,-1.91987,50,5.76149,0.88464,-114.62162,1.54112,5.72546,24.9043,-40.32854,WAS_HUS,MIC_SPA,UofWashington,D1,BIG10,20260419-UofWashington-1,2740e260-3c2b-11f1-9c26-35d30dca0a2c,77.22998,,,7.39828,,,,,,,b51005bc-e9e5-4c88-85ad-faeb0f21a55c,2026-04-19,20:05:45.93,2026-04-19T13:05:45.9346944-07:00,2026-04-19T20:05:45.9346944Z,,v3,471486,1551,f5de5b32029342a7a3ba0e046a3d0044,"Swidler, Ethan",835029,Right,WAS_HUS,0127e9bf-6b35-4bac-8b8a-a1b1c56f88be,54.92518,-115.68679,12.45215,5.65869,3.26598,-20.16427,-1.95246,0.63976,2.86273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
